model,model_path,sample_name,channel_assignment,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000000,swapped,0.9387317895889282,0.8891691565513611,0.05203592777252197,0.021133050322532654,0.4641297161579132,0.47090888023376465,0.46448609232902527,0.17144818603992462,0.8933559060096741,0.8905584216117859,0.9433479309082031,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|2641|2641|81294', '?|Al_big_grains_logtif.h5|3908|8854|282841']",Al_big_grains_logtif,0.7088989441930619,0.6870566435959741,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000001,direct,0.9854229688644409,0.9712935090065002,0.01660364866256714,0.006289133336395025,0.03237033635377884,0.03237456455826759,0.032460037618875504,0.028792917728424072,0.9994491338729858,0.9994490146636963,0.9844096899032593,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|3908|3908|127163', '?|Al_big_grains_logtif.h5|1675|1675|48410']",Al_big_grains_logtif,0.10048176187198898,0.10081019361733219,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000002,swapped,0.9861106872558594,0.9726028442382812,0.0438990443944931,0.0157871562987566,0.10394920408725739,0.1042373925447464,0.1040257066488266,0.0433495007455349,0.9939552545547485,0.9939252138137817,0.9711058139801025,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|4340|9283|296308', '?|Al_big_grains_logtif.h5|2546|7490|233211']",Al_big_grains_logtif,0.3137254901960784,0.31721314683307666,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000003,direct,0.9619655609130859,0.926875114440918,0.0791386291384697,0.04005984961986542,0.30715084075927734,0.3184225559234619,0.30715087056159973,0.12815308570861816,0.9518535137176514,0.9482273459434509,0.9414134621620178,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|2991|2991|94851', '?|Al_big_grains_logtif.h5|1376|6321|195387']",Al_big_grains_logtif,0.5777408637873754,0.5691295113925987,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000004,swapped,0.8691323399543762,0.7718619704246521,0.1069803237915039,0.03834337368607521,0.5261307954788208,0.5882323980331421,0.5261307954788208,0.13673807680606842,0.8393795490264893,0.811963677406311,0.8810759782791138,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|887|5835|180047', '?|Al_big_grains_logtif.h5|1070|1070|29940']",Al_big_grains_logtif,0.45937300063979525,0.7184177194671814,validation,0,0,1,1
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000005,swapped,0.979546070098877,0.9600352048873901,0.04052559286355972,0.021750787273049355,0.1771734356880188,0.17997601628303528,0.1771734356880188,0.037930142134428024,0.9815959930419922,0.9811664819717407,0.9695102572441101,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|3484|3484|111558', '?|Al_big_grains_logtif.h5|4554|9499|302098']",Al_big_grains_logtif,0.7369099819448027,0.7884860233878346,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000006,direct,0.9475519061088562,0.9004920125007629,0.022808413952589035,0.005779299885034561,0.08935803174972534,0.09466388821601868,0.08935803174972534,0.0335535891354084,0.9956654906272888,0.9952328205108643,0.9623717665672302,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|3757|8700|277242', '?|Al_big_grains_logtif.h5|1684|1684|48746']",Al_big_grains_logtif,0.4585365853658537,0.4964517642873928,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000007,direct,0.8951207399368286,0.8118451833724976,0.11874564737081528,0.029629282653331757,0.6812904477119446,0.6834148168563843,0.6812904477119446,0.43045541644096375,0.839419424533844,0.8386135101318359,0.8881875276565552,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|1077|1077|30198', '?|Al_big_grains_logtif.h5|2039|6983|215605']",Al_big_grains_logtif,0.8094027954256671,0.8935693271991376,validation,0,0,2,0
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000008,direct,0.9826433658599854,0.9659948348999023,0.023088956251740456,0.010627233423292637,0.06745636463165283,0.06778788566589355,0.06745636463165283,0.029205309227108955,0.9974328279495239,0.997403621673584,0.9797772169113159,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|4930|4930|156758', '?|Al_big_grains_logtif.h5|4586|9530|303497']",Al_big_grains_logtif,0.7705977382875606,0.7744840149561169,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_000009,swapped,0.910586953163147,0.8392511606216431,0.05610913783311844,0.02016780897974968,0.3799527883529663,0.46249738335609436,0.3799528479576111,0.1474529206752777,0.9108978509902954,0.8730751872062683,0.927238941192627,0.5050363950431347,0.01578238734509796,0.00789119367254898,"['?|Al_big_grains_logtif.h5|605|5551|172261', '?|Al_big_grains_logtif.h5|4764|4764|152516']",Al_big_grains_logtif,0.8708036622583927,0.8835146940782542,validation,0,0,0,2
