model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Al,573,0.8061165192780486,0.7136268912185549,0.1242077541269401,0.0607430947388654,0.3701675759911225,0.7384379305348554,0.37024982125997336,0.8936224479949911,0.7863794367558877,0.23027497324865007,0.8409543817580059,0.6982299089431763
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,IN718_twins,503,0.7916177053811773,0.6904108142757984,0.1382420955162873,0.12832094920025194,0.3497471457002888,0.7217984394601752,0.34975199308801835,0.9065936463727629,0.7762303248077453,0.19682912155985832,0.8266878039178033,0.6798726558685303
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Al_big_grains,552,0.6561921127680419,0.5442085414045099,0.12661399694996467,0.06775307597970401,0.584682319259298,1009.4627296539915,0.5854879813133806,0.8234748523952304,0.6289488090256202,0.37367723146251036,0.7647890582464744,0.6690601110458374
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Al_small_grains,552,0.6370895591335021,0.5307803401804488,0.16914859325017617,0.02873317549592289,0.5211535793715629,0.7337437794152377,0.5236572618393794,0.839600812157859,0.6279190763075283,0.33276069551652326,0.7339704826042273,0.6300134658813477
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Ti7Al,580,0.6248919825615554,0.49978757839778376,0.11928959673527499,0.0557140941410486,0.593031785585757,1975.1729769186727,0.5940497418415958,0.7995920577439769,0.5958248790225078,0.3745493029067614,0.7528011944787255,0.6757438242435455
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.617573649260319,0.5162725140754547,0.1613060571706026,0.027532599758867744,0.4423016550847226,0.7007512177030245,0.44937988587965566,0.8541964493278,0.6105393132505318,0.2940181429116314,0.7281337949550815,0.6162156462669373
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Iron,536,0.5876657234421417,0.4812218335026236,0.14064760845668836,0.033506880835769005,0.5610138143676875,1.3179126915369015,0.5650548567133609,0.8208390349772439,0.5609395127298672,0.35229605001592035,0.7235090581338797,0.6292861700057983
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Iron_deformed,557,0.5807810904628713,0.4714357037518568,0.1594809928250163,0.030976622107921962,0.4881304787401665,0.8081101288540787,0.49415866225369315,0.8375568278602038,0.5791278430921171,0.31053991175358664,0.710650048949346,0.6292740345001221
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,Cu,571,0.5056728773380119,0.42418291384514073,0.17423706561744526,0.022109824589954367,0.5945060447041083,0.8862287959054556,0.6111717939168059,0.8175636595685929,0.5008168541638739,0.35377091901693264,0.6657179064800777,0.5875005125999451
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,IN718_twins,503,0.9064799326788597,0.8475458540807425,0.09103437410167624,0.06672984266294459,0.2482600025462346,0.38340047980930886,0.2482654603779553,0.9503932248052972,0.8939046833079094,0.13301622848860573,0.9077227781591548,0.8178658723831177
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Al,573,0.8961128745403589,0.8323776256455593,0.09391532581215026,0.0350243646267925,0.30084185919238426,0.412420704479721,0.30095771099416374,0.9346498587992803,0.8823144809321791,0.17287072800156736,0.9010987729094208,0.7966803431510925
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Al_big_grains,552,0.8556033355062422,0.784031576976396,0.07502539929987835,0.028605899466471612,0.36135249529911234,46.636148521723904,0.3624261758607421,0.9010432889496071,0.8364986610747334,0.20388837376621255,0.8902889684490536,0.7606889545917511
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Ti7Al,580,0.8336186671565319,0.7553377120145436,0.06863433894267755,0.024376307046522612,0.34913582703548257,0.5250341692714598,0.3507542398212285,0.8917526721954345,0.8294693658064152,0.19182559392542442,0.8824921653188508,0.7512068510055542
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Al_small_grains,552,0.7916422508980917,0.6750338427938413,0.18085760544594107,0.028816019225379696,0.5606580887907657,0.7557324364147,0.5631237305916738,0.8412830216297205,0.7301697190581025,0.35728042703830515,0.8053923217930655,0.7092264831066132
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Iron,536,0.7881654413111174,0.682541416235157,0.12841595034810033,0.02452588435644701,0.49604431395210435,0.7404057956231174,0.5004291996332024,0.8485534574780891,0.7377544015145568,0.3053411938112799,0.829874744611,0.7253337502479553
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Iron_deformed,557,0.7808171641783825,0.6668832845169937,0.14795328694089738,0.024452411690041344,0.4538662943928845,0.6317005801671711,0.4601840636487281,0.8651055372596002,0.7586636503680176,0.28131087672691024,0.8164319382107664,0.7139323949813843
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.7806732621457841,0.6634631485988697,0.16272596005971232,0.026895388174226455,0.43729814315318233,0.6517138134222478,0.44530367439923185,0.8727557479093472,0.7397313805348757,0.27280174887790865,0.8089736509654257,0.7030323147773743
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,Cu,571,0.7663996045831624,0.6430181897459013,0.19376039995947256,0.02252373669048585,0.6557453471495266,0.9868685682997395,0.6715974563996971,0.8075579762876347,0.6818545597969129,0.43088092176723186,0.786319602704925,0.7002278566360474
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.9733667633760994,0.9536265894977994,0.03346725189817651,0.02427265162174229,0.08820112711318563,0.1426455640969113,0.08820770149513575,0.9919550230441463,0.9809475187989873,0.03587926732363257,0.9699497561805528,0.9610902786254882
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.9641938469588861,0.9343109638487065,0.031273318153934436,0.011337903893047238,0.10316656981424199,0.15823897388137967,0.10331993501301835,0.9900575363407168,0.9846572632044814,0.04519831029418693,0.9664602641659882,0.9575606107711792
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9351208476700644,0.8799057018713675,0.04152219032065646,0.005008731171298111,0.13590468633650005,0.1374368689738322,0.14033251033043084,0.9849318814450416,0.9844057848272116,0.057720791041493365,0.946799329765465,0.9266675651073456
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.9312280944238106,0.8722300962027576,0.042450929306344025,0.004688530413962629,0.12570127165074357,0.12664031023935726,0.13918302279327893,0.9882655857751766,0.9880121939091219,0.051343177761737024,0.9443885821642147,0.9209983944892883
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.9301157682270244,0.8825720878776865,0.03598429957502589,0.014003534222602088,0.18159247151292537,1538.8181239531505,0.18313747036027844,0.9656683869012024,0.9546296719623648,0.08337949970703357,0.9470657370444657,0.9173587381839752
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.9217407210771718,0.8614835561211429,0.04236840122594818,0.006791588784292785,0.18203439347362563,0.2230946868380059,0.18954267934548544,0.9682241147245044,0.9649053675803676,0.08586996618950211,0.9396861594781947,0.9023934900760651
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.9090951829346121,0.8379277233803508,0.05359737108055255,0.006986634043978337,0.17725114809278955,0.1860539773529265,0.18755589578053253,0.9737522452802162,0.9712920500303299,0.08477389611407472,0.9277489061201496,0.8937805891036987
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.904888578972758,0.8298975776770069,0.059082236434553216,0.0051626187721479375,0.2104964934537373,0.21667631322129804,0.23806060680339924,0.9673117876783561,0.9656538947659908,0.10669345055639927,0.9229031709363706,0.887526273727417
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.9000459512246066,0.8379954539753239,0.04729238384973322,0.016552129354335945,0.2500361440606929,0.33876146664040097,0.25196960015736264,0.935555092116882,0.9242805993248676,0.13430384224890893,0.9263767831284424,0.8531751036643982
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,IN718_twins,503,0.9826346962873789,0.9673725783113931,0.028055002988791964,0.019990702963269373,0.07551174384965811,0.10652451130892955,0.07552322175790728,0.994148371707848,0.9903333411065058,0.026494801345685864,0.9772898462373267,0.9642366886138916
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Al,573,0.9734374423613723,0.9498809301936397,0.028122891498856363,0.009411572625398974,0.09636879981500317,0.10026518978425554,0.09657433775642052,0.990884796071011,0.9901313247064853,0.03821144006034216,0.9726572749294328,0.9617196083068847
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Al_small_grains,552,0.9378806992933371,0.884845024973586,0.03901713952233178,0.004753643805641965,0.13314997467576808,0.13473783318709204,0.13818358488556376,0.9842095146144646,0.9837791613046674,0.054955881568447155,0.9494317788360775,0.9270853638648987
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Al_deformed_LoG,576,0.9349933028635051,0.8790468783635232,0.0388610102705166,0.004380222297186265,0.11679491526511912,0.11966925862685053,0.13215762604441908,0.9891358057243956,0.9882331403593222,0.0471145461915512,0.9480661480791039,0.9244678318500519
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Al_big_grains,552,0.9339904738185199,0.8864308182096136,0.03476354178628358,0.012879627981380074,0.18343741016502937,0.2326862897919626,0.18511961511862668,0.9651272267751072,0.9602105046312014,0.07865650393269143,0.9496134657790696,0.9124989867210388
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Iron,536,0.9210901711302907,0.8615516084454843,0.04272526258223954,0.006856723235261543,0.1900299353170584,0.20859083263620512,0.19825932535745983,0.9640531139031275,0.960962661111088,0.08858563568138555,0.9391824543031294,0.9010750949382782
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Iron_deformed,557,0.913421868421873,0.8444216742549807,0.05064969720516213,0.006609986956303194,0.1704584646943281,0.1766808847269742,0.18190480384781715,0.9765988823755425,0.9747447081485385,0.07714843574645502,0.931386085237164,0.8961302042007446
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Cu,571,0.9075693767876634,0.8343464893447121,0.05762036053395313,0.005034800706555228,0.21288944722435416,0.21831203775640232,0.24299328481279406,0.9670416925187286,0.9652996261566616,0.10814570241070298,0.9249745076049231,0.8885782361030579
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,Ti7Al,580,0.8990694029577847,0.8353716790676117,0.04884776223916561,0.016479207857527996,0.25693418520566974,10.679368595798211,0.25904293281250984,0.9307733664738721,0.9225354593889467,0.13648821763304897,0.9251108229160309,0.856369948387146
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,IN718_twins,503,0.9778838647051786,0.959821118867658,0.04871963615164487,0.02951882861158394,0.12186471975702888,0.1360393473008281,0.1218715071026421,0.9863371897644362,0.9809762890604334,0.08014956127044932,0.9645821154710076,0.9545155048370362
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Al,573,0.9665766419228459,0.9388127036223652,0.04434731170977181,0.014915754004376721,0.12808473684530816,0.13298816739680672,0.128218454658257,0.9854951057758631,0.983637596196113,0.07882992569584706,0.9611146656006418,0.9489372253417969
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Al_big_grains,552,0.9238039677881676,0.8696889022122258,0.04399900648243509,0.01612119167913224,0.20023164800300763,0.21667172667988832,0.20167514102776413,0.9612216927867004,0.9561286643147469,0.10785858643889103,0.9399024792339491,0.9004620254039765
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Al_small_grains,552,0.8984728041982305,0.8215035407439523,0.04986611223253219,0.0062962754961082956,0.14306343338735725,0.14569091964917985,0.14731389929310998,0.9825839647024438,0.9816675338948119,0.09132287260549872,0.9243033450582753,0.8963652491569519
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Al_deformed_LoG,576,0.8984312876645062,0.8202905354814397,0.04440272268483467,0.005390458486039683,0.12416318428909613,0.1263927242382326,0.13804253119613147,0.9892018444629179,0.9885914317435689,0.07448604597528982,0.9270142847672105,0.8918351233005524
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Ti7Al,580,0.8980156225377116,0.8302674851540861,0.04894327018891686,0.015726898393015665,0.2416242477965766,3.255694657795388,0.24334162086376857,0.9422614878107761,0.9359576443659848,0.13120364157868356,0.924536175460651,0.8725151419639587
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Iron,536,0.8953787359728742,0.8199489660449882,0.04745356088031584,0.007960056980338586,0.1874927185170019,0.20822959882554723,0.1944155344433749,0.9665097951221822,0.9634116897498494,0.10722898612660703,0.9239625876296812,0.8804754316806793
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Iron_deformed,557,0.8826943763282612,0.7983965997850018,0.05643467325048397,0.007629773758445437,0.1785600542941898,0.18675239294553359,0.18890701024333278,0.9728126549956186,0.9701378826500056,0.10668022093936613,0.9131298521048719,0.875908350944519
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,Cu,571,0.8435737963524466,0.7376854423883709,0.058555662168773795,0.005290648793954983,0.1901189238485438,0.19898818368043247,0.21732394872216962,0.9726050379710524,0.9708119640730308,0.11749330053396274,0.8925090661817173,0.8554462790489197
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,IN718_twins,503,0.9800070022375399,0.9649753350742295,0.02767270401853394,0.019353710523219575,0.07485903538467277,0.10296340173047414,0.07486761255823002,0.9937675108255496,0.9855345139209604,0.027277002296404482,0.9761671478421267,0.9696422338485717
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Al,573,0.9737670709741469,0.9520456026361875,0.02840791204472903,0.00968485519844213,0.09912861829353772,0.10391081177855453,0.09930623103953885,0.9905049268279816,0.9878283402578577,0.03957339814526027,0.9726795811095579,0.9638674259185791
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Al_small_grains,552,0.9421601771660473,0.8921822615075803,0.038815163612446704,0.004747574440957776,0.13225616942551258,0.13454958285960922,0.13712349720299244,0.9853667295065479,0.9847525114166564,0.05340491503053615,0.9516725086647532,0.9309829473495483
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Al_deformed_LoG,576,0.9362410860550072,0.881770549600737,0.041054163257487945,0.004587465286830492,0.12487844169178668,0.1268716846211141,0.13977797388926977,0.9871678751789861,0.9864937168959942,0.048755821526810905,0.9475934631708596,0.9240103960037231
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Al_big_grains,552,0.9357926969186984,0.8923901504688505,0.03531385578157758,0.01347906797246137,0.18495483394961912,0.2593870444925151,0.18655098846985324,0.9637882159347984,0.9520834892772246,0.08339292028635416,0.9502394206929898,0.9077453911304474
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Iron,536,0.9266196100680686,0.8715089789466627,0.04164560785979283,0.006704102005112791,0.18034252224476147,0.2098482793037182,0.18827998089784784,0.9660340464159624,0.9638096520037793,0.08233412719329944,0.9424870028647024,0.9017549455165863
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Iron_deformed,557,0.9146182562226239,0.848806678606749,0.05106340652445408,0.0067469233703838,0.17234420960959668,0.18325986011585813,0.1835663218847083,0.9737522544295827,0.9706542794216471,0.07641899831115671,0.9317774219401649,0.886791181564331
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Cu,571,0.9089403905091895,0.8371044573767172,0.05590584101693643,0.004942427946323115,0.20756475726263224,0.21707280989468827,0.23744754300774082,0.9673298595248087,0.9648292472817643,0.10793919570502644,0.9265172750853824,0.8884837031364441
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,Ti7Al,580,0.9006580765391218,0.8424957505074041,0.046870863281896914,0.0152823643596313,0.24722013155576483,0.3497345830089059,0.249164986897838,0.9322753744392559,0.92380119685469,0.12574486942953783,0.9268936073985593,0.836912727355957
