model,donor_key,n,dice_mean,iou_mean,rmse_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,spot_recognition_p10
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|98|98|344511,4,0.3973473459482193,0.32944993674755096,0.21404914557933807,0.8238706588745117,0.4138837233185768,0.5916491001844406,0.5728863418102265
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|238|518|2313516,3,0.4589483042558034,0.36058011651039124,0.2343684285879135,0.7993857463200887,0.4636395573616028,0.6122899452845255,0.5741364002227783
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|141|141|523753,3,0.43190818031628925,0.3763493100802104,0.18119109173615774,0.8656061689058939,0.4397210975488027,0.6253585418065389,0.5832541704177856
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|56|336|1461382,5,0.41900345087051394,0.36034674644470216,0.1640896052122116,0.8759463787078857,0.4390455722808838,0.6274569153785705,0.5763803958892822
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|27|307|1314638,3,0.452831228574117,0.3238924741744995,0.19702784717082977,0.7663762370745341,0.3567292094230652,0.6279016733169556,0.6199786543846131
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|216|496|2201946,4,0.5043451637029648,0.43509332835674286,0.2360815331339836,0.796754777431488,0.4876866936683655,0.6341318190097809,0.5650871217250824
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|96|376|1581320,3,0.49408642450968426,0.3966277440388997,0.22376332680384317,0.7944386998812357,0.3822476267814636,0.6351615389188131,0.5969485282897949
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|87|87|316193,3,0.4964914719263713,0.40178098281224567,0.21894454956054688,0.6889874935150146,0.48672962188720703,0.6387734810511271,0.592883563041687
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|23|23|70379,3,0.5064333776632944,0.39720215400060016,0.21763500074545541,0.81576140721639,0.5122060577074686,0.6443991859753927,0.5827394962310791
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|273|553|2451312,7,0.4734773508140019,0.39016189319746836,0.18317176827362605,0.8358861122812543,0.5122779735497066,0.6451527902058193,0.6001839160919189
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|98|378|1584909,3,0.4845984677473704,0.39443649848302204,0.19350849588712057,0.8154727617899576,0.5370309849580129,0.6455450057983398,0.6038422584533691
