model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10,reconstruction_rmse
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.8811516182915591,0.8154686967847835,0.14924485825935369,0.07942601799720501,0.4006080576561199,0.4197247539448809,0.4006076817498885,0.8775083257355699,0.8700924252065465,0.21954583718254422,0.8659533819194817,0.7795744895935058,6.143262769207193e-10
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.7802206157701802,0.6652264627278579,0.13198993244512336,0.04291555087324264,0.4077943966936899,0.49293867351705073,0.407777157051401,0.8799603305249938,0.8499188277525843,0.1606125366284039,0.8241153398941533,0.7444350004196167,2.6844883050058303e-10
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.7408070866612421,0.6027998588979244,0.14917327807811293,0.020166754592682464,0.4639712707207039,0.5676247448916885,0.4642750370059756,0.8651317396889562,0.8307495404412781,0.14909442052906513,0.7958169049326924,0.7097353518009186,3.021549672100903e-11
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.6590599624893503,0.5039407053991709,0.1586913378638478,0.016103774544027765,0.5302129686400686,0.7519486765727896,0.533431140741826,0.8350792204122828,0.7816407015048059,0.199271607243712,0.7501843130108354,0.65708988904953,1.287072102913969e-11
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.6508984575565491,0.5025258649968438,0.15674283775863135,0.021745778219256964,0.4482321950296561,0.5983887817710638,0.44842954308518934,0.8786594205432467,0.8233937662508752,0.17025994676967254,0.7470778095432453,0.6628162562847137,5.322019370822581e-11
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.6427388799687227,0.5081869293058264,0.10303351580691726,0.04166444887211411,0.4996020750048152,466.26130236029303,0.4996957215817942,0.850994739735472,0.7548541364030562,0.22148324173800918,0.7698526839199273,0.6810901939868927,2.0945694592514817e-10
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.633901405537792,0.48149712121572275,0.14012213671977902,0.02167128038607685,0.4499207222215577,0.6242190197886,0.4507124796643505,0.8670721188374867,0.8120773208847594,0.17536808228156991,0.7468896313458414,0.6618519306182862,3.5819514470014334e-11
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.618172347100813,0.46892638473924414,0.12349337444348789,0.02420301828533411,0.5204347933072653,1.0462676779325328,0.5206496602813921,0.8452665297620332,0.7583556775170476,0.21800399382960106,0.7473394861861841,0.6577727794647217,5.0431513675940126e-11
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.5721797952878064,0.423038910021042,0.1033374852565085,0.03982437535767155,0.5192807131543242,689.1930302642286,0.5191164993777357,0.8213249557491007,0.7230911676739824,0.2505215934670434,0.7344211546511485,0.6491579651832581,1.4787923847025523e-10
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,IN718_twins,503,0.8227675409309907,0.7598546602083722,0.1929178738125987,0.10397406818556264,0.5160231473253926,0.5380728973990406,0.5160226134757399,0.7992443498038866,0.7940249297301291,0.36355334185582266,0.8149248349737694,0.6527919292449951,8.640044607395097e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Al,573,0.7782161085497439,0.7134486160145173,0.1698285115990027,0.05208838523859662,0.5101163460634142,0.5406106280887835,0.5101112134650636,0.7607938947893979,0.7546693849626012,0.37745567871156893,0.8041937973278771,0.614328122138977,7.473902444249479e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Al_small_grains,552,0.6994246763811596,0.624963596355224,0.17480089769325813,0.023346781961004457,0.5126663577655142,0.5536724875100713,0.514112276484029,0.7121349502948747,0.7013102793067262,0.40538804637322173,0.7623118885077428,0.5709899425506592,2.245750022513857e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Al_deformed_LoG,576,0.6165023316732712,0.5444796305511974,0.2006069665415756,0.025534065549032273,0.5868989347687198,0.6545431279292744,0.5880491193254582,0.6412734742690291,0.6243223389093246,0.4873015951436375,0.7079476829514735,0.5555728077888489,2.6153211709522808e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Al_big_grains,552,0.6105299515082784,0.553159743088527,0.11676443382453146,0.04072599705735532,0.5230615095343387,377.46324146707013,0.5234369679111177,0.6296722276433222,0.6188944828953,0.44935355525787757,0.7468827594665514,0.6157160043716431,5.4141972537413526e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Cu,571,0.5849490471562655,0.5093022574737486,0.18348991862113298,0.01780002153679996,0.5696407140521317,0.6223734966764674,0.578276074822542,0.6136903616154465,0.5974173641350975,0.48605785260609824,0.7007295642237321,0.5459645986557007,8.456193121314952e-12
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Iron,536,0.5524707553324415,0.4902833372132102,0.14306947164525932,0.02395765273277943,0.567621167439884,0.6228752051577416,0.569729670096856,0.5807247351465831,0.5658464591338563,0.4970139999380474,0.704700642001273,0.5775495171546936,1.3922107871149473e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Iron_deformed,557,0.5519622996636738,0.4819442840356587,0.18463718215976732,0.02737861696615668,0.5949932443884266,0.6722909685164101,0.5974102386773381,0.5821759487824979,0.5586768140484657,0.5122589226548779,0.6836625576233307,0.566204559803009,2.2751053332189242e-11
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,Ti7Al,580,0.4653400137249766,0.41701396017752845,0.122425715172265,0.04252273663678872,0.6098539609345384,0.6855810592874306,0.6102940376932283,0.5043187043276326,0.48470694283986915,0.5529583241667421,0.6714571479065665,0.5986390352249146,1.3450218600112548e-11
