model,donor_key,n,dice_mean,iou_mean,rmse_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,spot_recognition_p10
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|0|0|14345,21,0.3608681715670086,0.23043174970717656,0.08091095976886295,0.9356615656898135,0.7042894618851798,0.6399785989806765,0.6172889471054077
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|800|1782|729836,3,0.39235058426856995,0.25856107970078784,0.1048493708173434,0.6568232377370199,0.5276753703753153,0.6437505880991617,0.611703610420227
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|167|447|1896154,3,0.4083378215630849,0.2612040042877197,0.12017125015457471,0.776116410891215,0.6478402614593506,0.644083301226298,0.6264829635620117
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|192|192|64402,3,0.4684869945049286,0.3175243188937505,0.17949481308460236,0.5248026847839355,0.45961283644040424,0.6444960633913676,0.6148170471191406
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|230|510|2253954,4,0.3948167711496353,0.2529728040099144,0.08886399865150452,0.8226450532674789,0.5965660363435745,0.6529763638973236,0.6185550391674042
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|14|14|64651,3,0.5901962717374166,0.4322446485360463,0.2830999195575714,0.6473071575164795,0.5810539722442627,0.6535481611887614,0.6115307092666626
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|479|1460|605758,3,0.4817356963952382,0.3566719541947047,0.1744433989127477,0.6507120728492737,0.6320712467034658,0.6536461313565572,0.5660715460777282
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|615|615|277544,3,0.37453892827033997,0.2594960778951645,0.061082467436790466,0.8090723752975464,0.5344817737738291,0.6567282478014628,0.6297999620437622
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|725|1707|707156,3,0.4238848090171814,0.27383895715077716,0.10472967972358067,0.7513615687688192,0.6382292906443278,0.6595775485038757,0.6341277122497558
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|278|1260|494692,3,0.4346928795178731,0.28937646746635437,0.11044783890247345,0.7676456173261007,0.5802103877067566,0.6621225277582804,0.6516929626464844
