model,model_path,sample_name,selected_target_for_output,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,reconstruction_rmse,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000040,target_1,0.34693798422813416,0.23763546347618103,0.061357200145721436,0.0562189444899559,0.23744001984596252,1.6204980611801147,0.23741930723190308,0.9721306562423706,0.58177649974823,0.18872752785682678,0.6427903771400452,2.3283064365386963e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|1584|1584|45750', '?|Al_big_grains_logtif.h5|3766|8711|277505']",Al_big_grains_logtif,0.4336283185840708,0.4098978541288173,train,0,1,1,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000043,target_1,0.805935800075531,0.6802940964698792,0.07665528357028961,0.05155733600258827,0.17247231304645538,0.2206830382347107,0.17245624959468842,0.9824283719062805,0.9752796292304993,0.09397406876087189,0.8646402359008789,3.080059818305614e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|4254|9197|294024', '?|Al_big_grains_logtif.h5|3112|8056|254733']",Al_big_grains_logtif,0.10759175465057819,0.10813985772325152,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000082,target_0,0.887066125869751,0.8026025891304016,0.05365053191781044,0.02563805878162384,0.13736438751220703,0.15848496556282043,0.13733862340450287,0.9905550479888916,0.9876194000244141,0.02247633971273899,0.9167078137397766,3.4924596548080444e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|3581|3581|115704', '?|Al_big_grains_logtif.h5|4123|9065|289870']",Al_big_grains_logtif,0.26529680365296804,0.2682573655566446,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000096,target_0,0.7180968523025513,0.5664017796516418,0.2618698477745056,0.09949276596307755,0.8052353858947754,0.8137780427932739,0.8052354454994202,0.6481226682662964,0.6433141231536865,0.47206270694732666,0.7281135320663452,2.6031257704950406e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2164|7109|220371', '?|Al_big_grains_logtif.h5|2470|2470|74829']",Al_big_grains_logtif,0.718365553602812,0.7886269699764578,train,0,1,1,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000116,target_0,0.7951395511627197,0.6711635589599609,0.04176304489374161,0.03373169153928757,0.12138113379478455,0.2687726616859436,0.12137965112924576,0.9925726056098938,0.954817533493042,0.040468279272317886,0.8766882419586182,1.646361241780525e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2350|7294|226675', '?|Al_big_grains_logtif.h5|1299|6243|192942']",Al_big_grains_logtif,0.1416184971098266,0.13274098573657842,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000120,target_1,0.7920398712158203,0.6853021383285522,0.07442961633205414,0.013006235472857952,0.25230932235717773,0.26420649886131287,0.24903783202171326,0.969611644744873,0.9665696024894714,0.044593580067157745,0.8588051199913025,0.0,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|4125|9070|289918', '?|Al_big_grains_logtif.h5|2539|7482|232876']",Al_big_grains_logtif,0.7488789237668162,0.7273001747614571,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000129,target_0,0.7107173204421997,0.5516079664230347,0.053715672343969345,0.02798321470618248,1.3584263324737549,2.017875909805298,1.3583654165267944,0.6495592594146729,0.574397623538971,0.46071386337280273,0.8285008668899536,1.64796828960867e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|939|939|25073', '?|Al_big_grains_logtif.h5|4604|9546|304638']",Al_big_grains_logtif,0.38424821002386633,0.3827146541305122,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000130,target_0,0.6600886583328247,0.5086709856987,0.10128049552440643,0.018105393275618553,0.5757818818092346,0.9692094326019287,0.575649619102478,0.8040488362312317,0.6597990393638611,0.09194660186767578,0.7794040441513062,0.0,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2117|7060|218884', '?|Al_big_grains_logtif.h5|2170|7111|220421']",Al_big_grains_logtif,0.5714285714285714,0.5701596255746527,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000180,target_1,0.49735474586486816,0.386427640914917,0.08559262752532959,0.060917653143405914,0.5108051896095276,1.1677207946777344,0.5107954144477844,0.7927110195159912,0.5823191404342651,0.26259663701057434,0.7058810591697693,2.016372485647011e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|595|5538|172044', '?|Al_big_grains_logtif.h5|4613|4613|148850']",Al_big_grains_logtif,0.6733067729083665,0.6635423333966164,train,0,1,1,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000227,target_0,0.6992170810699463,0.5376570820808411,0.05183117091655731,0.031884193420410156,0.7726356983184814,2.1121692657470703,0.7725896835327148,0.7522556781768799,0.5444651246070862,0.1604829728603363,0.8236929178237915,1.1641532182693481e-10,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2673|7617|237883', '?|Al_big_grains_logtif.h5|4516|9461|300856']",Al_big_grains_logtif,0.18624891209747607,0.19444966771275363,train,0,0,2,0
