model,model_path,sample_name,channel_assignment,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000040,direct,0.6262953281402588,0.5635632276535034,0.011037559248507023,0.007004035171121359,0.05729008838534355,0.08340203762054443,0.05737462639808655,0.016273505985736847,0.9977279901504517,0.9961833953857422,0.807628870010376,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|1584|1584|45750', '?|Al_big_grains_logtif.h5|3766|8711|277505']",Al_big_grains_logtif,0.4336283185840708,0.4098978541288173,train,0,1,0,1
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000043,swapped,0.5818027853965759,0.4222954511642456,0.25462406873703003,0.21248790621757507,0.5781270265579224,0.9098322987556458,0.5781310796737671,0.4777630865573883,0.5328909158706665,0.40838223695755005,0.663589358329773,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|4254|9197|294024', '?|Al_big_grains_logtif.h5|3112|8056|254733']",Al_big_grains_logtif,0.10759175465057819,0.10813985772325152,train,0,1,1,0
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000082,direct,0.9186227917671204,0.8575762510299683,0.01476325374096632,0.007519993931055069,0.0405174195766449,0.04640736058354378,0.0406157448887825,0.015467774122953415,0.9991559982299805,0.9989095330238342,0.9519298076629639,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|3581|3581|115704', '?|Al_big_grains_logtif.h5|4123|9065|289870']",Al_big_grains_logtif,0.26529680365296804,0.2682573655566446,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000096,swapped,0.9174094200134277,0.8474247455596924,0.11086215078830719,0.047592733055353165,0.342692494392395,0.388713002204895,0.342692494392395,0.23532967269420624,0.9306715726852417,0.9162602424621582,0.9032736420631409,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|2164|7109|220371', '?|Al_big_grains_logtif.h5|2470|2470|74829']",Al_big_grains_logtif,0.718365553602812,0.7886269699764578,train,0,0,1,1
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000116,swapped,0.9010440111160278,0.8281915783882141,0.012059604749083519,0.00585894426330924,0.03904351219534874,0.03956107795238495,0.03911078721284866,0.02293458953499794,0.9990633130073547,0.9990440607070923,0.9444922208786011,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|2350|7294|226675', '?|Al_big_grains_logtif.h5|1299|6243|192942']",Al_big_grains_logtif,0.1416184971098266,0.13274098573657842,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000120,swapped,0.9269854426383972,0.8682084083557129,0.013653873465955257,0.0027035658713430166,0.04955795407295227,0.05567532777786255,0.05232826620340347,0.02612832374870777,0.9987354278564453,0.9983482360839844,0.9566657543182373,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|4125|9070|289918', '?|Al_big_grains_logtif.h5|2539|7482|232876']",Al_big_grains_logtif,0.7488789237668162,0.7273001747614571,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000129,swapped,0.9177234172821045,0.8523591756820679,0.006403055973351002,0.0027963253669440746,0.17021648585796356,0.17386960983276367,0.17078685760498047,0.10253360122442245,0.9713205695152283,0.9700939655303955,0.9556602239608765,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|939|939|25073', '?|Al_big_grains_logtif.h5|4604|9546|304638']",Al_big_grains_logtif,0.38424821002386633,0.3827146541305122,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000130,swapped,0.833344578742981,0.7298644185066223,0.05911659449338913,0.008879845961928368,0.42159467935562134,0.45680972933769226,0.4222989082336426,0.2773342728614807,0.7616130113601685,0.7474640607833862,0.8871139883995056,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|2117|7060|218884', '?|Al_big_grains_logtif.h5|2170|7111|220421']",Al_big_grains_logtif,0.5714285714285714,0.5701596255746527,train,0,0,1,1
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000180,direct,0.7493026256561279,0.6635292172431946,0.027217049151659012,0.014238955453038216,0.18063731491565704,0.2674814462661743,0.18066942691802979,0.08188985288143158,0.9778856635093689,0.9503810405731201,0.861042857170105,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|595|5538|172044', '?|Al_big_grains_logtif.h5|4613|4613|148850']",Al_big_grains_logtif,0.6733067729083665,0.6635423333966164,train,0,0,1,1
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000227,swapped,0.9278998374938965,0.8696004152297974,0.007539794314652681,0.0030473850201815367,0.17990797758102417,0.18332508206367493,0.18023884296417236,0.10301090031862259,0.9671546220779419,0.965914249420166,0.9601800441741943,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|2673|7617|237883', '?|Al_big_grains_logtif.h5|4516|9461|300856']",Al_big_grains_logtif,0.18624891209747607,0.19444966771275363,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000239,swapped,0.9412024021148682,0.8917542099952698,0.008751978166401386,0.003103372873738408,0.024535374715924263,0.02581191062927246,0.026778388768434525,0.016740411520004272,0.9996832609176636,0.9996558427810669,0.9662252068519592,0.4888399769552052,0.015276249279850163,0.007638124639925081,"['?|Al_big_grains_logtif.h5|1145|1145|31825', '?|Al_big_grains_logtif.h5|2564|7509|234075']",Al_big_grains_logtif,0.29124820659971307,0.28511084329549463,train,0,0,0,2
