source,evaluation_set,model_label,model_id,metric,metric_column,n,mean,sd,pinned_table_value,mean_minus_pinned,matches_pinned_to_4dp,mean_sd,sd_fmt
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Dice,dice_mean,5000,0.8800101348757744,0.08505836263194246,0.88,1.0134875774392427e-05,True,0.8800 +/- 0.0851,0.0851
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,RMSE,rmse_mean,5000,0.04069187123589213,0.040719928813882075,0.0407,-8.128764107870334e-06,True,0.0407 +/- 0.0407,0.0407
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,RMSE whole,rmse_whole_mean,5000,0.009858524316945063,0.013888123189716812,0.0099,-4.147568305493815e-05,True,0.0099 +/- 0.0139,0.0139
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Soft Dice whole,soft_intensity_dice_whole_mean,5000,0.9515034015059471,0.10106665030861886,0.9515,3.4015059471315112e-06,True,0.9515 +/- 0.1011,0.1011
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Recognition,spot_recognition_mean,5000,0.9196591313362121,0.052920290818586437,0.9197,-4.086866378782972e-05,True,0.9197 +/- 0.0529,0.0529
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Dice,dice_mean,5000,0.7292744726389646,0.18586936202300613,0.7293,-2.5527361035337925e-05,True,0.7293 +/- 0.1859,0.1859
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,RMSE,rmse_mean,5000,0.5783016008645296,0.11258792335911981,0.5783,1.6008645296050616e-06,True,0.5783 +/- 0.1126,0.1126
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,RMSE whole,rmse_whole_mean,5000,0.15531683375686403,0.10425827539457429,0.1553,1.683375686403754e-05,True,0.1553 +/- 0.1043,0.1043
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Soft Dice whole,soft_intensity_dice_whole_mean,5000,0.4926195975966752,0.14646949835384301,0.4926,1.9597596675191564e-05,True,0.4926 +/- 0.1465,0.1465
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Recognition,spot_recognition_mean,5000,0.5754864364922047,0.06673892828084191,0.5755,-1.3563507795355534e-05,True,0.5755 +/- 0.0667,0.0667
two_output,validation_or_train_split_in_file,Two-output Tversky loss,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Dice,dice_mean,5000,0.9626697217226028,0.041211100025045244,0.9627,-3.0278277397211006e-05,True,0.9627 +/- 0.0412,0.0412
two_output,validation_or_train_split_in_file,Two-output Tversky loss,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,RMSE,rmse_mean,5000,0.6664201885640622,0.07790590083956436,0.6664,2.0188564062162406e-05,True,0.6664 +/- 0.0779,0.0779
two_output,validation_or_train_split_in_file,Two-output Tversky loss,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,RMSE whole,rmse_whole_mean,5000,0.15444433093219992,0.10049605174101683,0.1544,4.433093219990969e-05,True,0.1544 +/- 0.1005,0.1005
two_output,validation_or_train_split_in_file,Two-output Tversky loss,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Soft Dice whole,soft_intensity_dice_whole_mean,5000,0.5340549332469702,0.1273224362376391,0.5341,-4.50667530298432e-05,True,0.5341 +/- 0.1273,0.1273
