source,evaluation_set,model_label,model_id,Dice,RMSE,RMSE whole,Soft Dice whole,Recognition
final_test,held_out_test,"Multi-output Tversky loss, ReduceLROnPlateau factor 0.5 evaluation",final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,0.0738,0.0394,0.0143,0.0910,0.0516
multi_output,validation_or_train_split_in_file,Multi-output BCE/MSE loss,final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,0.1275,0.0686,0.0272,0.1700,0.0864
multi_output,validation_or_train_split_in_file,"Multi-output BCE/MSE loss, small dataset",final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,0.1621,0.0586,0.0497,0.1851,0.0957
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, 32 base channels",final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,0.0625,0.0328,0.0197,0.0756,0.0424
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, ReduceLROnPlateau factor 0.5",final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,0.0469,0.0297,0.0097,0.0528,0.0334
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, batch size 100",final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,0.0557,0.0329,0.0136,0.0664,0.0389
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, batch size 20",final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,0.0550,0.0298,0.0159,0.0649,0.0378
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, learning rate 1e-4",final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,0.0522,0.0277,0.0139,0.0611,0.0350
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, learning rate 3e-4",final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,0.0674,0.0289,0.0154,0.0645,0.0422
multi_output,validation_or_train_split_in_file,"Multi-output Tversky loss, learning rate 5e-5",final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,0.0634,0.0338,0.0153,0.0740,0.0435
one_output,validation_or_train_split_in_file,One-output Dice/L1 loss,final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,0.1412,0.0642,0.0268,0.1456,0.0770
one_output,validation_or_train_split_in_file,One-output Tversky loss,final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,0.2075,0.0914,0.0380,0.2118,0.1248
two_output,validation_or_train_split_in_file,Two-output L1 loss,final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,0.0997,0.0523,0.0147,0.1281,0.0675
two_output,validation_or_train_split_in_file,"Two-output L1 loss, 32 base channels",final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,0.1174,0.0610,0.0183,0.1604,0.0782
two_output,validation_or_train_split_in_file,"Two-output L1 loss, batch size 100",final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,0.0888,0.0509,0.0120,0.1170,0.0614
two_output,validation_or_train_split_in_file,Two-output Tversky loss,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,0.0412,0.0779,0.1005,0.1273,0.0435
two_output,validation_or_train_split_in_file,"Two-output Tversky loss, small dataset",final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,0.1859,0.1126,0.1043,0.1465,0.0667
two_output,validation_or_train_split_in_file,Two-output reconstruction loss,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,0.0851,0.0407,0.0139,0.1011,0.0529
