model_display,architecture,soft_dice_whole_mean,rmse_whole_mean,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
one-output Dice/L1 loss,oneoutput,0.7997406891703606,0.03370708084357898,0.7746540147781372,0.6843063085496426,0.5493452544569969,0.13499827879853543,0.471747916739434,0.8576468678891659,0.7997406891703606,0.19574158259443933,0.0161926747706253,5000,final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/oneoutput
two-output Tversky loss small dataset,twooutput,0.4926195975966752,0.15531683375686403,0.5754864364922047,0.7292744726389646,0.6265630141407251,0.5783016008645296,2.3972589824318886,0.5252504840135575,0.4926195975966752,2.398695316639915,0.0124458507154136,5000,final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
multi-output BCE/MSE loss small dataset,unknown,0.6282567257523537,0.04972459401870142,0.7489587416768074,0.6438725668430328,0.5399123016029597,0.1459550835181027,0.5018458946056664,0.8430356614887714,0.6282567257523537,0.3142607995850965,0.0218206929224077,5000,final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
two-output Tversky loss,twooutput,0.5340549332469702,0.15444433093219992,0.6481247658193111,0.9626697217226028,0.9318751075565815,0.6664201885640622,3.0580467735171317,0.535713223901391,0.5340549332469702,3.5080336567044257,0.0147476718360092,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
multi-output BCE/MSE loss,pin,0.7869059345155954,0.030917578712105705,0.8470596902370453,0.8213728568196297,0.7266764554589987,0.127253475730773,0.4307406781259924,0.8786188374400139,0.7869059345155954,0.26210119289960127,0.0178392043847823,5000,final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
two-output L1 loss base channel 32,twooutput,0.9009284043386578,0.014582120267441448,0.9067893510937691,0.8783546187698841,0.8126038147300482,0.06477591659799213,0.24499484281223263,0.9165371113628149,0.9009284043386578,0.15061357931694944,0.0125421245906036,5000,final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
two-output L1 loss batch 100,twooutput,0.9419232713997364,0.00955729630254204,0.9369979908943177,0.9222203576683998,0.8731888180375099,0.048224376540770705,0.18571130378022785,0.9495876009106636,0.9419232713997364,0.10389193154382079,0.0125762508419808,5000,final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
multi-output Tversky loss base channel 32,unknown,0.9685475760042668,0.010396212761523154,0.9431503931879998,0.9294443248689175,0.875743288064003,0.04314353901916179,0.1625311521504074,0.9737067561507226,0.9685475760042668,0.07669409698629748,0.01897668469958,5000,final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
two-output L1 loss,twooutput,0.9327046603024006,0.010894801723572841,0.9323112132906913,0.9156367324650287,0.8654613051533699,0.05101430530298962,0.1968864058666862,0.9429294816374779,0.9327046603024006,0.11384173732297491,0.0125076787834055,5000,final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
two-output reconstruction loss,twooutput,0.9515034015059471,0.009858524316945063,0.9196591313362121,0.8800101348757744,0.8076865048229694,0.04069187123589213,0.15593033124580974,0.9657488693892956,0.9515034015059471,0.08292500902087191,0.0124828284909948,5000,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/twooutput
multi-output Tversky loss batch 100,unknown,0.970410589170456,0.009498901384812729,0.9460354107260704,0.9332073234021664,0.8816014802455903,0.04113650227626781,0.16052298980485644,0.9732674259960652,0.970410589170456,0.07349639947481915,0.0165740292282076,5000,final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
one-output Tversky loss,oneoutput,0.6313829644948245,0.039027917575040025,0.7319289729177951,0.6290881281167269,0.5637743645012379,0.16523018179943258,0.5552536413026482,0.6452936799138784,0.6313829644948245,0.4603270206997326,0.0159901529991999,5000,final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,eva_server/Auswertung_1608/oneoutput
multi-output Tversky loss learning rate 3e-4,unknown,0.9700184227347374,0.01190659597180779,0.9297232567310333,0.908646133697033,0.8427456719577312,0.04919962036628272,0.16887228078693148,0.9730704652070999,0.9700184227347374,0.09968386219292874,0.0133969773905817,5000,final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,eva_server/Auswertung_1608/multi-output
multi-output Tversky loss learning rate 5e-5,unknown,0.9686163908541202,0.00940503154345783,0.9469678818106652,0.9348628065884114,0.8860873689979315,0.04092704392718147,0.15921034374665463,0.9730411857128143,0.9686163908541202,0.07225068536766334,0.014663515589782,5000,final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,eva_server/Auswertung_1608/multi-output
multi-output Tversky loss batch 20,unknown,0.9729446213245392,0.009644378853496114,0.9489766511559486,0.9380237532258033,0.8897383934020996,0.040070450682751786,0.1509906531974673,0.9767415701508522,0.9729446213245392,0.07350743231424126,0.0124613731408026,5000,final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
multi-output Tversky loss learning rate 1e-4,unknown,0.9727943494081497,0.010360373806673984,0.9489970085501671,0.9411443051636219,0.8949657571077346,0.04315028783921148,0.15537735107243056,0.9770383408367633,0.9727943494081497,0.09041843020515512,0.012458384838188,5000,final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,0.9581077647373081,0.01053438951387065,0.9398030724644661,0.9255456356376409,0.8725159629359841,0.04593949127960945,0.17608610733835953,0.9646915900573134,0.9581077647373081,0.09304310063296575,0.0091088772197021,20000,final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,eva_server/Auswertung_1608/best_model
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,0.9758339730381965,0.008380332273570771,0.9507356305122375,0.9410765679121017,0.8939952716886997,0.039605306449625594,0.14917107053492212,0.977436296248436,0.9758339730381965,0.0735790870099328,0.0123316939289914,5000,final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,eva_server/Auswertung_1608/multi-output
