model_display,architecture,dataset,soft_dice_whole_mean,rmse_whole_mean
multi-output BCE/MSE loss,pin,Al,0.8823144809321791,0.03502436462679246
multi-output BCE/MSE loss,pin,Al_big_grains,0.8364986610747334,0.028605899466471567
multi-output BCE/MSE loss,pin,Al_deformed_LoG,0.7397313805348757,0.02689538817422641
multi-output BCE/MSE loss,pin,Al_small_grains,0.7301697190581025,0.02881601922537965
multi-output BCE/MSE loss,pin,Cu,0.6818545597969129,0.022523736690485806
multi-output BCE/MSE loss,pin,IN718_twins,0.8939046833079094,0.06672984266294454
multi-output BCE/MSE loss,pin,Iron,0.7377544015145568,0.02452588435644696
multi-output BCE/MSE loss,pin,Iron_deformed,0.7586636503680176,0.024452411690041295
multi-output BCE/MSE loss,pin,Ti7Al,0.8294693658064152,0.024376307046522563
multi-output BCE/MSE loss small dataset,unknown,Al,0.7863794367558877,0.06074309473886535
multi-output BCE/MSE loss small dataset,unknown,Al_big_grains,0.6289488090256202,0.06775307597970395
multi-output BCE/MSE loss small dataset,unknown,Al_deformed_LoG,0.6105393132505318,0.027532599758867696
multi-output BCE/MSE loss small dataset,unknown,Al_small_grains,0.6279190763075283,0.028733175495922844
multi-output BCE/MSE loss small dataset,unknown,Cu,0.5008168541638739,0.022109824589954315
multi-output BCE/MSE loss small dataset,unknown,IN718_twins,0.7762303248077453,0.12832094920025192
multi-output BCE/MSE loss small dataset,unknown,Iron,0.5609395127298672,0.03350688083576896
multi-output BCE/MSE loss small dataset,unknown,Iron_deformed,0.5791278430921171,0.03097662210792191
multi-output BCE/MSE loss small dataset,unknown,Ti7Al,0.5958248790225078,0.055714094141048554
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Al,0.9896786375195569,0.009362895281848827
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Al_big_grains,0.9640953916570415,0.01148972501919222
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Al_deformed_LoG,0.989059093925688,0.004352270945673758
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Al_small_grains,0.9846839239631874,0.00487442413029472
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Cu,0.971141860906798,0.004718507117112224
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,IN718_twins,0.9941634496685051,0.015381705464895163
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Iron,0.9702552768276699,0.006285265812636373
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Iron_deformed,0.9747580786902772,0.006460478632791083
multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,Ti7Al,0.946683602754412,0.013100257740307805
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Al,0.988678713755818,0.009508485270257062
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Al_big_grains,0.9353308145038941,0.015630512593891734
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Al_deformed_LoG,0.9877681739149038,0.004902122771688716
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Al_small_grains,0.9841776587317164,0.005049756758709654
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Cu,0.9586904855674715,0.005442736642449813
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,IN718_twins,0.9898518268371036,0.017495536798247426
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Iron,0.9455085925147622,0.007565377929988062
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Iron_deformed,0.9433726358665849,0.008932846630391096
multi-output Tversky loss ReduceLROnPlateau 0.5 evaluation,unknown,Ti7Al,0.8895878830772064,0.020282371517989155
multi-output Tversky loss base channel 32,unknown,Al,0.9846572632044814,0.011337903893047188
multi-output Tversky loss base channel 32,unknown,Al_big_grains,0.9546296719623648,0.014003534222602039
multi-output Tversky loss base channel 32,unknown,Al_deformed_LoG,0.9880121939091219,0.004688530413962581
multi-output Tversky loss base channel 32,unknown,Al_small_grains,0.9844057848272116,0.005008731171298061
multi-output Tversky loss base channel 32,unknown,Cu,0.9656538947659908,0.005162618772147888
multi-output Tversky loss base channel 32,unknown,IN718_twins,0.9809475187989873,0.024272651621742244
multi-output Tversky loss base channel 32,unknown,Iron,0.9649053675803676,0.006791588784292734
multi-output Tversky loss base channel 32,unknown,Iron_deformed,0.9712920500303299,0.006986634043978288
multi-output Tversky loss base channel 32,unknown,Ti7Al,0.9242805993248676,0.016552129354335896
multi-output Tversky loss batch 100,unknown,Al,0.9901313247064853,0.009411572625398924
multi-output Tversky loss batch 100,unknown,Al_big_grains,0.9602105046312014,0.012879627981380024
multi-output Tversky loss batch 100,unknown,Al_deformed_LoG,0.9882331403593222,0.004380222297186213
multi-output Tversky loss batch 100,unknown,Al_small_grains,0.9837791613046674,0.004753643805641914
multi-output Tversky loss batch 100,unknown,Cu,0.9652996261566616,0.005034800706555179
multi-output Tversky loss batch 100,unknown,IN718_twins,0.9903333411065058,0.019990702963269328
multi-output Tversky loss batch 100,unknown,Iron,0.960962661111088,0.0068567232352614955
