ranked sample,multi-output BCE/MSE Loss,multi-output BCE/MSE Loss small Dataset,multi-output Tversky Loss,multi-output Tversky Loss Evaluation,multi-output Tversky Loss ReduceLROnPlateau,multi-output Tversky Loss base-channel 32,multi-output Tversky Loss batch 100,multi-output Tversky Loss batch 20,multi-output Tversky Loss final Model,multi-output Tversky Loss lr 1e-04,multi-output Tversky Loss lr 3e-04,multi-output Tversky Loss lr 5e-05,one-output Loss,one-output Tversky Loss,two-output L1,two-output L1 base-channel 32,two-output L1 batch 100,two-output Reconstruction Loss,two-output Tversky Loss,two-output Tversky Loss small Dataset
best sample 1,077653,051181,079138,005939,079138,079138,079138,079138,008710,008710,079138,008710,047444,077653,047444,047444,047444,047444,047444,047444
best sample 2,079138,047224,008710,002007,077653,049582,051959,049582,079138,077653,008710,049582,047142,024647,050443,050443,050443,050443,077653,044642
best sample 3,053205,048915,077653,006243,049582,044855,045148,046212,047444,051959,051959,049932,049932,050469,045574,049380,045574,049380,079138,047224
best sample 4,018877,018877,049582,011218,008710,045148,044855,047139,047139,049582,049582,051959,049380,003410,049380,045372,049380,045574,008710,049380
best sample 5,019399,049893,047544,012072,045737,051959,045737,051591,044855,049932,049592,047139,050469,032968,045372,047328,045372,045372,050443,047328
best sample 6,045996,052044,049720,011576,047139,045737,049582,053104,045737,047142,051591,052976,046913,008423,047328,045574,047328,047328,050878,044939
best sample 7,018971,046568,046070,012279,045148,050890,045574,048568,046024,049720,050981,049592,052044,047896,044642,044642,044642,048883,045691,051629
best sample 8,023573,045654,050981,012006,047723,045574,048727,045237,045104,049458,045574,049536,048932,000254,048883,048883,048883,047081,047224,045574
best sample 9,044855,051295,045737,012872,050890,048236,049319,045737,049932,052976,046700,049720,052431,035000,047224,047081,047081,019796,049380,051001
best sample 10,046042,048466,045237,011675,051591,051926,050981,047723,045574,046070,045148,052981,044998,064668,047081,019796,051926,047224,051629,049849
worst sample 1,066538,069133,078672,000301,003501,026164,075058,071488,077612,079572,067614,030707,073190,049351,066538,000573,071219,074062,072650,074369
worst sample 2,062402,044105,079887,001673,079887,071488,071488,079887,079887,079887,004582,079887,074753,009184,073451,075786,072422,072422,057772,077333
worst sample 3,078401,005000,057275,018168,026164,003894,005000,050878,059722,079691,071488,062268,073567,009041,066187,074185,073675,076849,076790,002862
worst sample 4,075562,024794,073272,000538,079816,000562,078397,000239,079816,057275,072087,057275,067038,079843,077736,003554,079953,066187,073381,036719
worst sample 5,063514,033404,018971,018311,057772,008225,079887,077392,057772,078401,073778,054505,066954,069342,071678,000584,066187,074961,079887,004454
worst sample 6,064987,079437,078131,018254,076790,077612,075707,000357,072650,051171,079887,057772,074369,017438,072178,072025,007677,071488,049536,063436
worst sample 7,071288,076423,075274,017229,023199,079887,003894,071287,003894,071287,078401,075917,003731,077616,071219,071426,071564,077736,001810,068894
worst sample 8,073424,002862,001810,019533,043225,003554,073101,038471,003958,030707,013620,048954,007325,048559,071457,071457,072738,071999,047438,074368
worst sample 9,068129,038443,000445,018840,058917,074041,043225,066140,043225,060504,057275,072650,074368,076182,073675,066187,073354,078603,072010,074260
worst sample 10,030707,064567,019559,001042,019559,072031,066140,026164,001810,072650,077392,025792,075688,034449,003522,072178,071288,079953,049849,041938
