model_display,best_1,best_2,best_3,best_4,best_5,best_6,best_7,best_8,best_9,best_10,worst_1,worst_2,worst_3,worst_4,worst_5,worst_6,worst_7,worst_8,worst_9,worst_10
multi-output BCE/MSE Loss,77653,79138,53205,18877,19399,45996,18971,23573,44855,46042,66538,62402,78401,75562,63514,64987,71288,73424,68129,30707
multi-output BCE/MSE Loss small Dataset,51181,47224,48915,18877,49893,52044,46568,45654,51295,48466,69133,44105,5000,24794,33404,79437,76423,2862,38443,64567
multi-output Tversky Loss,79138,8710,77653,49582,47544,49720,46070,50981,45737,45237,78672,79887,57275,73272,18971,78131,75274,1810,445,19559
multi-output Tversky Loss ReduceLROnPlateau,79138,77653,49582,8710,45737,47139,45148,47723,50890,51591,3501,79887,26164,79816,57772,76790,23199,43225,58917,19559
multi-output Tversky Loss base-channel 32,79138,49582,44855,45148,51959,45737,50890,45574,48236,51926,26164,71488,3894,562,8225,77612,79887,3554,74041,72031
multi-output Tversky Loss batch 100,79138,51959,45148,44855,45737,49582,45574,48727,49319,50981,75058,71488,5000,78397,79887,75707,3894,73101,43225,66140
multi-output Tversky Loss batch 20,79138,49582,46212,47139,51591,53104,48568,45237,45737,47723,71488,79887,50878,239,77392,357,71287,38471,66140,26164
multi-output Tversky Loss final Model,8710,79138,47444,47139,44855,45737,46024,45104,49932,45574,77612,79887,59722,79816,57772,72650,3894,3958,43225,1810
multi-output Tversky Loss lr 1e-04,8710,77653,51959,49582,49932,47142,49720,49458,52976,46070,79572,79887,79691,57275,78401,51171,71287,30707,60504,72650
multi-output Tversky Loss lr 3e-04,79138,8710,51959,49582,49592,51591,50981,45574,46700,45148,67614,4582,71488,72087,73778,79887,78401,13620,57275,77392
multi-output Tversky Loss lr 5e-05,8710,49582,49932,51959,47139,52976,49592,49536,49720,52981,30707,79887,62268,57275,54505,57772,75917,48954,72650,25792
