model_display,dataset,performance_group,rank_within_group,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean
multi-output BCE/MSE Loss,Al,best 10,1,sample_018877,0.9862655401229858,0.99756121635437,0.9951344728469848,0.023665377870202
multi-output BCE/MSE Loss,Al,best 10,2,sample_019399,0.9862579107284546,0.996468424797058,0.99297297000885,0.0180840902030468
multi-output BCE/MSE Loss,Al,best 10,3,sample_018971,0.9849109649658204,0.998198390007019,0.9964033365249634,0.0200646854937076
multi-output BCE/MSE Loss,Al,best 10,4,sample_023573,0.98458331823349,0.9942592978477478,0.988606572151184,0.0151860816404223
multi-output BCE/MSE Loss,Al,best 10,5,sample_023009,0.9831509590148926,0.9934926629066468,0.9870885610580444,0.0205778107047081
multi-output BCE/MSE Loss,Al,best 10,6,sample_025990,0.9822500944137572,0.9968267679214478,0.9936752319335938,0.0297868475317955
multi-output BCE/MSE Loss,Al,best 10,7,sample_025237,0.9821705222129822,0.9961189031600952,0.9922677874565125,0.0202019847929477
multi-output BCE/MSE Loss,Al,best 10,8,sample_023199,0.9800782203674316,0.9924465417861938,0.9850445985794068,0.0251794029027223
multi-output BCE/MSE Loss,Al,best 10,9,sample_024743,0.9799702763557434,0.9977364540100098,0.9954841136932372,0.0225165747106075
multi-output BCE/MSE Loss,Al,best 10,10,sample_024693,0.97950541973114,0.9981200695037842,0.9962473511695862,0.0235765092074871
multi-output BCE/MSE Loss,Al,worst 10,1,sample_023920,0.4281611144542694,0.4042764008045196,0.2668357193470001,0.0265213716775178
multi-output BCE/MSE Loss,Al,worst 10,2,sample_020979,0.4667021632194519,0.5854794979095459,0.4698582291603088,0.3148780167102813
multi-output BCE/MSE Loss,Al,worst 10,3,sample_024794,0.4734979271888733,0.492252379655838,0.4847412109375,0.0614121481776237
multi-output BCE/MSE Loss,Al,worst 10,4,sample_019559,0.4956755638122558,0.4991382360458374,0.4982794523239136,0.0308987665921449
multi-output BCE/MSE Loss,Al,worst 10,5,sample_018518,0.5068908929824829,0.548850417137146,0.4153955280780792,0.2609342634677887
multi-output BCE/MSE Loss,Al,worst 10,6,sample_018297,0.5172855854034424,0.4995322823524475,0.4990654289722442,0.0855862572789192
multi-output BCE/MSE Loss,Al,worst 10,7,sample_021666,0.5201307535171509,0.5230754613876343,0.4099292457103729,0.2656931579113006
multi-output BCE/MSE Loss,Al,worst 10,8,sample_025056,0.5270155668258667,0.5113242864608765,0.3517308533191681,0.1617863625288009
multi-output BCE/MSE Loss,Al,worst 10,9,sample_021466,0.5290866494178772,0.5440342426300049,0.373742938041687,0.2250779569149017
