model_display,dataset,n_samples_best_10,n_samples_worst_10,recognition_mean_best_10,recognition_mean_worst_10,recognition_min_best_10,recognition_min_worst_10,recognition_max_best_10,recognition_max_worst_10,dice_mean_best_10,dice_mean_worst_10,iou_mean_best_10,iou_mean_worst_10,rmse_mean_best_10,rmse_mean_worst_10,recognition_gap,dice_gap,iou_gap,rmse_improvement
multi-output BCE/MSE Loss,Al,10.0,10.0,0.9829143226146698,0.5003968268632889,0.97950541973114,0.4281611144542694,0.9862655401229858,0.5395220518112183,0.9961228728294372,0.5122168123722076,0.9922924995422363,0.42090597450733186,0.02188393650576469,0.1587149996310472,0.4825174957513809,0.4839060604572296,0.5713865250349044,0.1368310631252825
multi-output BCE/MSE Loss,Al_big_grains,10.0,10.0,0.9756223142147065,0.4589727342128754,0.9699587821960448,0.4137881100177765,0.9811785221099854,0.5011215209960938,0.991047465801239,0.5000489622354507,0.9823019742965698,0.40577408075332644,0.02169121820479627,0.12552352286875243,0.5166495800018311,0.49099850356578834,0.5765278935432434,0.10383230466395615
multi-output BCE/MSE Loss,Al_deformed_LoG,10.0,10.0,0.9328680634498596,0.5031388759613037,0.9148727655410768,0.4555847644805908,0.9527513384819032,0.5198736190795898,0.9752981483936309,0.49315171241760253,0.9528222501277923,0.36842492520809167,0.0347819752991199,0.15973979160189625,0.42972918748855593,0.4821464359760284,0.5843973249197006,0.12495781630277634
multi-output BCE/MSE Loss,Al_small_grains,10.0,10.0,0.9281081438064576,0.48884828984737394,0.9099097847938538,0.4113005697727203,0.9662126302719116,0.5256760120391846,0.9668912291526794,0.5443851381540299,0.9368773102760315,0.411050483584404,0.062234192900359586,0.20640863478183746,0.4392598539590836,0.42250609099864955,0.5258268266916275,0.14417444188147788
multi-output BCE/MSE Loss,Cu,10.0,10.0,0.8520876884460449,0.46706523001194,0.8373972177505493,0.4199258387088775,0.8725650906562805,0.4916554689407348,0.9143212497234344,0.5244713336229324,0.8438429296016693,0.39087912738323205,0.09872712120413775,0.17856176346540448,0.3850224584341049,0.389849916100502,0.45296380221843724,0.07983464226126673
multi-output BCE/MSE Loss,IN718_twins,10.0,10.0,0.9834159731864929,0.5513948768377304,0.9811898469924928,0.4898740947246551,0.986829400062561,0.5722410678863525,0.9983426749706268,0.5705370724201202,0.9966957688331604,0.4340027838945389,0.02732372190803285,0.21457928642630572,0.4320210963487625,0.4278056025505066,0.5626929849386215,0.18725556451827288
multi-output BCE/MSE Loss,Iron,10.0,10.0,0.9458626806735992,0.4178535670042038,0.938285231590271,0.2883644700050354,0.95964378118515,0.4839942455291748,0.9758486032485962,0.44311733841896056,0.9534268319606781,0.34640645831823347,0.025004923436790637,0.154155820608139,0.5280091136693954,0.5327312648296356,0.6070203736424447,0.12915089717134837
multi-output BCE/MSE Loss,Iron_deformed,10.0,10.0,0.9374540865421295,0.4832144170999527,0.928652048110962,0.4583762884140014,0.9612216353416444,0.5050461292266846,0.9732199609279633,0.49194062650203707,0.9486245810985565,0.41653875410556795,0.04371318519115443,0.15365946292877192,0.45423966944217675,0.4812793344259262,0.5320858269929886,0.10994627773761749
multi-output BCE/MSE Loss,Ti7Al,10.0,10.0,0.9721956849098206,0.4094978213310242,0.9644629955291748,0.3501311242580414,0.992109477519989,0.4404401779174804,0.9847795903682709,0.42282952070236207,0.9704240441322327,0.34384858310222627,0.01585215548984701,0.12113794684410091,0.5626978635787964,0.5619500696659088,0.6265754610300065,0.1052857913542539
multi-output BCE/MSE Loss small Dataset,Al,10.0,10.0,0.9669152736663819,0.42502099871635435,0.9617868661880492,0.3092789351940155,0.9775567054748536,0.4598255753517151,0.9882635951042176,0.44036969244480134,0.9769047796726227,0.3473846793174743,0.03666345924139019,0.22181041985750194,0.5418942749500275,0.5478939026594163,0.6295201003551484,0.18514696061611174
multi-output BCE/MSE Loss small Dataset,Al_big_grains,10.0,10.0,0.8866201519966126,0.37767210006713864,0.8557878732681274,0.3050114214420318,0.916924238204956,0.3979735970497131,0.9302507698535919,0.42023763954639437,0.8727959513664245,0.33549402058124544,0.07243235111236568,0.1383661843836307,0.508948051929474,0.5100131303071975,0.5373019307851791,0.06593383327126504
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,10.0,10.0,0.8422028362751007,0.392400985956192,0.8293218612670898,0.3863418400287628,0.8581200838088989,0.4004318714141845,0.9028258740901947,0.39334010183811186,0.8275270164012909,0.3242696493864059,0.09727684855461116,0.25339957922697065,0.44980185031890874,0.5094857722520828,0.503257367014885,0.1561227306723595
multi-output BCE/MSE Loss small Dataset,Al_small_grains,10.0,10.0,0.8617127120494843,0.38937584757804866,0.822399377822876,0.3325672745704651,0.9384732842445374,0.4134600162506103,0.924012815952301,0.41774111092090604,0.8621481537818909,0.3487217783927917,0.09737519025802607,0.24603202491998669,0.47233686447143564,0.506271705031395,0.5134263753890992,0.1486568346619606
multi-output BCE/MSE Loss small Dataset,Cu,10.0,10.0,0.7910173773765564,0.36216761171817774,0.7378526926040649,0.2711609303951263,0.8879574537277222,0.3843252658843994,0.8648989081382752,0.38916447162628176,0.7759370386600495,0.31934123486280436,0.10008297860622403,0.23382818475365635,0.4288497656583787,0.47573443651199343,0.4565958037972451,0.13374520614743232
multi-output BCE/MSE Loss small Dataset,IN718_twins,10.0,10.0,0.9747944474220276,0.43301814794540405,0.9700794816017152,0.381558358669281,0.983104944229126,0.4590919017791748,0.9942812025547028,0.46376942098140717,0.9886556565761566,0.3517551451921463,0.032057950273156124,0.27318759113550184,0.5417762994766235,0.5305117815732956,0.6369005113840103,0.24112964086234573
multi-output BCE/MSE Loss small Dataset,Iron,10.0,10.0,0.8505578637123108,0.35693948864936825,0.8090538382530212,0.236623466014862,0.9132229089736938,0.3869625329971313,0.8916983604431152,0.3782450079917907,0.8121811747550964,0.295278388261795,0.07955201640725132,0.13448608741164203,0.49361837506294254,0.5134533524513245,0.5169027864933015,0.05493407100439071
multi-output BCE/MSE Loss small Dataset,Iron_deformed,10.0,10.0,0.8287675023078919,0.3973383337259292,0.7949583530426025,0.3792054653167724,0.8764580488204956,0.411089688539505,0.8847735345363616,0.43756721913814545,0.7974244773387908,0.34206255376338957,0.10337029770016666,0.24052580446004868,0.4314291685819627,0.4472063153982162,0.4553619235754013,0.13715550675988203
multi-output BCE/MSE Loss small Dataset,Ti7Al,10.0,10.0,0.8468881368637085,0.3698238879442215,0.8111094236373901,0.335238516330719,0.8749548196792603,0.3937945365905761,0.8817888617515564,0.40591477155685424,0.7936581075191498,0.32265747785568233,0.05278586819767948,0.1196457557380199,0.47706424891948696,0.4758740901947021,0.47100062966346745,0.06685988754034042
multi-output Tversky Loss,Al,10.0,10.0,0.9791247129440308,0.747492852807045,0.9780004024505616,0.4732826948165893,0.980074405670166,0.8873751163482666,0.9948693752288819,0.8169763803482055,0.9898078858852386,0.7528890401124955,0.02483136411756274,0.08606441058218475,0.23163186013698578,0.17789299488067634,0.23691884577274314,0.061233046464622014
multi-output Tversky Loss,Al_big_grains,10.0,10.0,0.9773941516876221,0.6262905448675156,0.9747651815414428,0.4890300929546356,0.990971863269806,0.7332130670547485,0.9912384331226349,0.6935226917266846,0.982664841413498,0.5966758579015732,0.01904752170667049,0.11983681954443451,0.35110360682010655,0.29771574139595036,0.3859889835119248,0.10078929783776402
multi-output Tversky Loss,Al_deformed_LoG,10.0,10.0,0.9692889511585235,0.8745634257793427,0.9676573276519777,0.8541344404220581,0.9719064235687256,0.8848205208778381,0.9809654176235199,0.9301835417747497,0.962730073928833,0.8703581094741821,0.019328095857053938,0.07754998542368408,0.09472552537918089,0.05078187584877014,0.0923719644546509,0.05822188956663014
multi-output Tversky Loss,Al_small_grains,10.0,10.0,0.964754855632782,0.7329292446374893,0.9603581428527832,0.4931340515613556,0.9728028774261476,0.8467174768447876,0.9772718369960784,0.810949158668518,0.9557143926620484,0.7138930439949036,0.02767558041959996,0.12139734476804728,0.23182561099529264,0.16632267832756042,0.24182134866714478,0.09372176434844733
multi-output Tversky Loss,Cu,10.0,10.0,0.9573550641536712,0.7227269142866135,0.9541426301002502,0.4914700090885162,0.96285879611969,0.7828415632247925,0.9650224328041077,0.8578752756118775,0.9325519561767578,0.7635056912899018,0.02297500744462008,0.14673791527748103,0.2346281498670577,0.10714715719223022,0.16904626488685603,0.12376290783286095
multi-output Tversky Loss,IN718_twins,10.0,10.0,0.9821055829524994,0.6548097908496857,0.981603980064392,0.503898561000824,0.9832607507705688,0.7758491039276123,0.9977319061756134,0.6877491891384124,0.9954770088195801,0.5444115966558456,0.0233665376901626,0.20002792030572886,0.3272957921028137,0.3099827170372009,0.4510654121637345,0.17666138261556624
multi-output Tversky Loss,Iron,10.0,10.0,0.9658859968185425,0.7257597088813782,0.963190734386444,0.5114235281944275,0.970300018787384,0.8059577941894531,0.9788418889045716,0.8475569665431977,0.958714348077774,0.7596323728561402,0.02089475477114314,0.11812417851760978,0.24012628793716428,0.1312849223613739,0.19908197522163384,0.09722942374646665
multi-output Tversky Loss,Iron_deformed,10.0,10.0,0.9624825417995453,0.7009185671806335,0.9605113863945008,0.4377136826515198,0.9651964902877808,0.7826200723648071,0.9737992882728577,0.7733884751796722,0.9489856839179993,0.663415452837944,0.020169297605752902,0.12115665860474105,0.2615639746189118,0.20041081309318542,0.2855702310800553,0.10098736099898814
multi-output Tversky Loss,Ti7Al,10.0,10.0,0.97647145986557,0.5048590242862702,0.9715368747711182,0.39978688955307,0.9911455512046814,0.6549556255340576,0.9886350095272064,0.5514698058366776,0.9776610851287841,0.42223948538303374,0.014074419531971161,0.14760124683380124,0.4716124355792999,0.4371652036905288,0.5554215997457503,0.13352682730183008
multi-output Tversky Loss ReduceLROnPlateau,Al,10.0,10.0,0.9798063039779663,0.7069474190473557,0.9772899150848388,0.4311233758926391,0.98284649848938,0.8302314877510071,0.9881206929683686,0.7771850228309631,0.9765500068664551,0.7130636274814606,0.01792116081342095,0.1061589621007442,0.2728588849306106,0.21093567013740544,0.26348637938499453,0.08823780128732325
multi-output Tversky Loss ReduceLROnPlateau,Al_big_grains,10.0,10.0,0.9781173944473267,0.5598299682140351,0.9747509956359864,0.2610694169998169,0.9870372414588928,0.6946887969970703,0.98745037317276,0.6120096415281295,0.9752607882022858,0.5140330284833908,0.01639562346972523,0.10932681933045382,0.4182874262332916,0.37544073164463043,0.46122775971889496,0.0929311958607286
multi-output Tversky Loss ReduceLROnPlateau,Al_deformed_LoG,10.0,10.0,0.9650794386863708,0.8150690913200378,0.9618114233016968,0.777979850769043,0.970445156097412,0.8316859006881714,0.9683176338672638,0.9104432165622711,0.93873211145401,0.8369809746742248,0.013684259261935911,0.11642101779580112,0.150010347366333,0.057874417304992654,0.1017511367797852,0.10273675853386521
multi-output Tversky Loss ReduceLROnPlateau,Al_small_grains,10.0,10.0,0.9646817445755005,0.7897324025630951,0.960626780986786,0.7472710609436035,0.9784238934516908,0.8237361311912537,0.9707850515842438,0.8791666090488434,0.9435326039791108,0.7945639312267303,0.02051096744835371,0.07874034270644183,0.17494934201240542,0.09161844253540041,0.14896867275238046,0.05822937525808812
multi-output Tversky Loss ReduceLROnPlateau,Cu,10.0,10.0,0.9577487587928772,0.6879612028598785,0.9525508880615234,0.4772026538848877,0.9638022184371948,0.7505285739898682,0.9574162602424622,0.822495061159134,0.9185820400714875,0.7086223125457763,0.0161883313208818,0.19928063601255414,0.26978755593299875,0.13492119908332822,0.20995972752571113,0.18309230469167234
multi-output Tversky Loss ReduceLROnPlateau,IN718_twins,10.0,10.0,0.985194879770279,0.7789185762405395,0.983965277671814,0.6466492414474487,0.9879316091537476,0.8656126856803894,0.9949077606201172,0.8094336032867432,0.9898752212524414,0.6973153650760651,0.019551499001681738,0.12018438428640359,0.20627630352973947,0.18547415733337402,0.29255985617637636,0.10063288528472185
multi-output Tversky Loss ReduceLROnPlateau,Iron,10.0,10.0,0.9650587379932404,0.6523593664169312,0.9620380401611328,0.5827078819274902,0.9725194573402404,0.7017974257469177,0.9704613626003266,0.7493156552314758,0.9428229868412018,0.6280835270881653,0.01852289875969286,0.15437748096883297,0.3126993715763092,0.22114570736885075,0.3147394597530365,0.1358545822091401
multi-output Tversky Loss ReduceLROnPlateau,Iron_deformed,10.0,10.0,0.9577353298664093,0.6080077946186065,0.9553462266921996,0.4524583220481872,0.962928831577301,0.728900134563446,0.9624881088733673,0.7073775380849838,0.9278683543205262,0.5854533165693283,0.01625026036053892,0.17186581343412394,0.34972753524780276,0.2551105707883835,0.34241503775119786,0.15561555307358502
multi-output Tversky Loss ReduceLROnPlateau,Ti7Al,10.0,10.0,0.9761780858039856,0.5033665537834168,0.9702481031417848,0.416013240814209,0.9907231330871582,0.6060113310813904,0.9820037364959717,0.5330045938491821,0.9648187816143036,0.4685544103384018,0.01085363426245744,0.0738258361816406,0.4728115320205688,0.44899914264678964,0.4962643712759018,0.06297220191918315
multi-output Tversky Loss base-channel 32,Al,10.0,10.0,0.9775004327297211,0.6717024832963944,0.9748104810714722,0.3455657660961151,0.9809777140617372,0.8130944967269897,0.9844872236251831,0.6971411675214767,0.9695200979709625,0.5997337907552719,0.01666492754593486,0.09200462233275171,0.3057979494333267,0.28734605610370645,0.3697863072156906,0.07533969478681685
multi-output Tversky Loss base-channel 32,Al_big_grains,10.0,10.0,0.9758581161499024,0.4466369658708572,0.9731887578964232,0.3622434437274933,0.9827512502670288,0.5345181822776794,0.982246857881546,0.4700378566980362,0.9652187645435333,0.3765501722693443,0.01389187304303044,0.13249647505581372,0.5292211502790451,0.5122090011835098,0.588668592274189,0.11860460201278328
multi-output Tversky Loss base-channel 32,Al_deformed_LoG,10.0,10.0,0.9605997323989868,0.7908953428268433,0.956838846206665,0.6826367378234863,0.9662134647369384,0.8332156538963318,0.959906131029129,0.8858417868614197,0.9229971706867218,0.7968983352184296,0.01305512385442848,0.12900561094284052,0.1697043895721435,0.07406434416770935,0.12609883546829226,0.11595048708841205
multi-output Tversky Loss base-channel 32,Al_small_grains,10.0,10.0,0.9613016903400421,0.7741175174713135,0.9571589827537536,0.7003923058509827,0.973738431930542,0.824334442615509,0.9639766812324524,0.8568080186843872,0.9306232988834381,0.7618496000766755,0.01854328466579313,0.06889188699424263,0.18718417286872857,0.10716866254806523,0.16877369880676263,0.0503486023284495
multi-output Tversky Loss base-channel 32,Cu,10.0,10.0,0.9507712841033935,0.6240202188491821,0.9434963464736938,0.4709697961807251,0.9654057621955872,0.7144210338592529,0.9518366575241088,0.7417792081832886,0.9083101093769074,0.6124219328165055,0.01969891358166927,0.20003898218274113,0.3267510652542114,0.21005744934082027,0.2958881765604019,0.18034006860107185
multi-output Tversky Loss base-channel 32,IN718_twins,10.0,10.0,0.9854765117168427,0.5805000126361847,0.9841508269309998,0.4370507001876831,0.9890956878662108,0.7097896337509155,0.9936334013938903,0.5938492476940155,0.9873579859733581,0.4593979299068451,0.01646922938525673,0.2071930348873138,0.404976499080658,0.39978415369987486,0.527960056066513,0.1907238055020571
multi-output Tversky Loss base-channel 32,Iron,10.0,10.0,0.96084845662117,0.5770099282264709,0.95755797624588,0.4848881065845489,0.966289758682251,0.6928390264511108,0.963556456565857,0.663919061422348,0.9299632012844086,0.5535043120384217,0.01496899034827943,0.14480234701186415,0.3838385283946991,0.29963739514350896,0.3764588892459869,0.12983335666358473
multi-output Tversky Loss base-channel 32,Iron_deformed,10.0,10.0,0.951280415058136,0.592360544204712,0.9479994773864746,0.4363847374916076,0.958549737930298,0.6803381443023682,0.9539482057094574,0.6727298408746719,0.9121437251567841,0.5394081443548202,0.017297989409416858,0.17650479227304455,0.35891987085342403,0.28121836483478546,0.3727355808019639,0.1592068028636277
multi-output Tversky Loss base-channel 32,Ti7Al,10.0,10.0,0.9726277589797974,0.4126478970050812,0.9673774242401124,0.351285308599472,0.9934786558151244,0.483420729637146,0.9758791387081146,0.4240760415792465,0.9530883133411407,0.3324561864137649,0.01017185503151264,0.13015870228409762,0.5599798619747162,0.5518030971288681,0.6206321269273758,0.11998684725258499
multi-output Tversky Loss batch 100,Al,10.0,10.0,0.9831283450126648,0.7745308518409729,0.9816118478775024,0.4664796590805053,0.9849870800971984,0.831194281578064,0.9865594625473022,0.8738317728042603,0.9735198974609375,0.8201839447021484,0.011554647516459191,0.07749123442918057,0.20859749317169185,0.11272768974304193,0.15333595275878908,0.06593658691272138
multi-output Tversky Loss batch 100,Al_big_grains,10.0,10.0,0.9782904386520386,0.5350144952535629,0.97512686252594,0.3884244561195373,0.9857616424560548,0.6602792143821716,0.9841020703315735,0.5791576355695724,0.9687711238861084,0.4961231678724289,0.01312797376886008,0.09931969679892061,0.44327594339847565,0.40494443476200104,0.47264795601367954,0.08619172303006054
multi-output Tversky Loss batch 100,Al_deformed_LoG,10.0,10.0,0.965869003534317,0.7446598589420319,0.9629235863685608,0.6012551784515381,0.972048819065094,0.8141510486602783,0.9676811993122101,0.8466085016727447,0.9375869750976562,0.749272158741951,0.01223573256283994,0.1432161137461662,0.22120914459228513,0.12107269763946538,0.18831481635570524,0.13098038118332625
multi-output Tversky Loss batch 100,Al_small_grains,10.0,10.0,0.9661549389362335,0.7442205905914306,0.9622737169265748,0.6169829368591309,0.9778426885604858,0.7814455032348633,0.968356478214264,0.8501168131828308,0.9388457953929901,0.7542325794696808,0.01640837145969268,0.10262317247688765,0.22193434834480286,0.11823966503143313,0.18461321592330926,0.08621480101719498
multi-output Tversky Loss batch 100,Cu,10.0,10.0,0.9538074970245362,0.6171344965696335,0.9479455351829528,0.4591814279556274,0.965489387512207,0.7159525156021118,0.9529556035995483,0.7511525094509125,0.9104394376277923,0.6140287309885025,0.01855354150757188,0.21944372132420537,0.33667300045490267,0.20180309414863584,0.2964107066392898,0.20089017981663349
multi-output Tversky Loss batch 100,IN718_twins,10.0,10.0,0.989352947473526,0.7931293070316314,0.987704575061798,0.5515873432159424,0.9915772676467896,0.8684287667274475,0.9951042890548706,0.8457134783267974,0.990261572599411,0.7538547962903976,0.01133342171087855,0.13502116128802294,0.19622364044189455,0.14939081072807314,0.2364067763090134,0.12368773957714439
multi-output Tversky Loss batch 100,Iron,10.0,10.0,0.9628726780414582,0.537166428565979,0.9611737728118896,0.4597511291503906,0.9665236473083496,0.5977327823638916,0.963601040840149,0.6321039348840714,0.9301016092300415,0.5203078418970108,0.01481881458312267,0.18251557722687717,0.4257062494754792,0.3314971059560776,0.40979376733303063,0.1676967626437545
multi-output Tversky Loss batch 100,Iron_deformed,10.0,10.0,0.95837242603302,0.6454960405826569,0.9543246030807496,0.5188913345336914,0.9635255336761476,0.7293177247047424,0.9577861428260803,0.7382934927940369,0.9191525459289551,0.6113362371921539,0.01235050223767753,0.1610863663256168,0.3128763854503631,0.21949265003204343,0.3078163087368012,0.14873586408793926
multi-output Tversky Loss batch 100,Ti7Al,10.0,10.0,0.9722438037395478,0.4270941913127899,0.9663822650909424,0.3340478539466858,0.9917397499084472,0.4811365604400635,0.9742237985134125,0.45034447610378264,0.949940949678421,0.39201867282390596,0.00847669504582877,0.08871373049914834,0.5451496124267579,0.5238793224096299,0.5579222768545151,0.08023703545331956
