model_display,performance_group,rank_within_group,sample_number,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,dataset
multi-output BCE/MSE Loss,best,1,77653,sample_077653,0.992109477519989,0.9996614456176758,0.9993233680725098,0.009423654526472,Ti7Al
multi-output BCE/MSE Loss,best,2,79138,sample_079138,0.9913161993026732,0.9994103312492372,0.9988220930099488,0.0076824626885354,Ti7Al
multi-output BCE/MSE Loss,best,3,53205,sample_053205,0.986829400062561,0.9977864027023317,0.9955825805664062,0.0210844874382019,IN718_twins
multi-output BCE/MSE Loss,best,4,18877,sample_018877,0.9862655401229858,0.99756121635437,0.9951344728469848,0.023665377870202,Al
multi-output BCE/MSE Loss,best,5,19399,sample_019399,0.9862579107284546,0.996468424797058,0.99297297000885,0.0180840902030468,Al
multi-output BCE/MSE Loss,best,6,45996,sample_045996,0.9861702919006348,0.9992175102233888,0.9984363317489624,0.0223610643297433,IN718_twins
multi-output BCE/MSE Loss,best,7,18971,sample_018971,0.9849109649658204,0.998198390007019,0.9964033365249634,0.0200646854937076,Al
multi-output BCE/MSE Loss,best,8,23573,sample_023573,0.98458331823349,0.9942592978477478,0.988606572151184,0.0151860816404223,Al
multi-output BCE/MSE Loss,best,9,44855,sample_044855,0.984176218509674,0.9995578527450562,0.99911630153656,0.0290251746773719,IN718_twins
multi-output BCE/MSE Loss,best,10,46042,sample_046042,0.9837340712547302,0.9991547465324402,0.998310923576355,0.0257493443787097,IN718_twins
multi-output BCE/MSE Loss,worst,1,66538,sample_066538,0.2883644700050354,0.3284309208393097,0.2299887090921402,0.1440350413322448,Iron
multi-output BCE/MSE Loss,worst,2,62402,sample_062402,0.3448354005813598,0.3739495873451233,0.2986577153205871,0.1669875681400299,Iron
multi-output BCE/MSE Loss,worst,3,78401,sample_078401,0.3501311242580414,0.3613527119159698,0.2818691730499267,0.1137889921665191,Ti7Al
multi-output BCE/MSE Loss,worst,4,75562,sample_075562,0.36934894323349,0.4854550957679748,0.32053342461586,0.211249828338623,Ti7Al
