model_display,Al,Al_big_grains,Al_deformed_LoG,Al_small_grains,Cu,IN718_twins,Iron,Iron_deformed,Ti7Al
multi-output Tversky Loss,0.9594696472556595,0.9301569333866887,0.9333543788848652,0.932763045626706,0.9093174099817793,0.963046442680283,0.9232346464448901,0.9182931312110737,0.9105660063439402
multi-output Tversky Loss final Model,0.9543992991430805,0.9108005066172801,0.9213744972108139,0.9221597487727801,0.8869490772746699,0.9699259255799811,0.9024508677756609,0.8953581909838014,0.8804450433829735
multi-output Tversky Loss ReduceLROnPlateau,0.952257523205892,0.9102404513868733,0.9228473510593176,0.9258449879893358,0.8896677587996848,0.9636732511681544,0.902460855112147,0.8954565338857298,0.8770022154882037
multi-output Tversky Loss lr 1e-04,0.9514804753957619,0.9093788143085397,0.9233591128140688,0.9232303320929625,0.8862690348341252,0.9590948541643132,0.9001818640685794,0.8934184772428961,0.8756404789871183
multi-output Tversky Loss batch 20,0.9513706220070105,0.9060533730232198,0.9217548344491256,0.9245788970071337,0.8833841016016992,0.964650768645952,0.8998408841330614,0.8945294825136126,0.873597831458881
multi-output Tversky Loss lr 3e-04,0.9537249461310489,0.9014764200302138,0.9195613305394849,0.9229536682799242,0.8764913616581264,0.9634493020609406,0.895507945053613,0.8909025607995114,0.8583610034194485
multi-output Tversky Loss batch 100,0.9533222783714481,0.9003027213764363,0.9190390624312891,0.9193320104825324,0.8758823768791927,0.9650508177209327,0.8908447585443953,0.8891495080995816,0.854838368759073
multi-output Tversky Loss base-channel 32,0.9448024197294658,0.8981438562597918,0.9156479614062442,0.917515630847302,0.8765607346795278,0.9552773661452306,0.8924192280244472,0.8846000192195338,0.8589849464852234
multi-output Tversky Loss lr 5e-05,0.9381282112673315,0.8875863336674545,0.8890058698339595,0.8873030290655468,0.8340111446359738,0.9478632695158243,0.8697991592448149,0.8647238472526763,0.8570015436102604
multi-output BCE/MSE Loss,0.842468192492064,0.7995745881960012,0.7164036758864919,0.7085678748570491,0.6740178456448424,0.8614334218189209,0.7157412924762092,0.7151377401724324,0.7832921076437522
multi-output BCE/MSE Loss small Dataset,0.7606465512753365,0.6142164023890011,0.606300215340323,0.6089223245347756,0.5107328006557325,0.7506107261948747,0.5647633671204546,0.5685617407947725,0.5817935230916944
