rank,model_display,architecture,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
1,multi-output Tversky Loss ReduceLROnPlateau 0.5,pin,0.9153567072272301,0.9407600495874882,0.8935715655148029,0.03929410020895298,187.9792585069837,0.9775868332803249,24997.76504432123,0.0096125986244005,5000,final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,eva_server/evaluation/pins/lronplateau_2
2,multi-output Tversky Loss lr 1e-04,pin,0.913028157901764,0.941067641478777,0.894831939125061,0.043380740100331557,176.2528040225029,0.9769516977250576,23478.747909297123,0.0095901246348,5000,final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/dif_lr_original
3,multi-output Tversky Loss batch 20,pin,0.9126922401309013,0.9379256517648696,0.8895610136985779,0.039717398428544354,181.166039945719,0.9770321542799473,24356.193578415572,0.0098007143859984,5000,final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,eva_server/evaluation/pins/batch20
4,multi-output Tversky Loss lr 3e-04,pin,0.9084806125223637,0.9347074387311936,0.8858375040262938,0.04066894803117025,435.6883023543904,0.9731275951206684,51550.00768935232,0.0154532294127973,5000,final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,eva_server/evaluation/pins/dif_lr
5,multi-output Tversky Loss batch 100,pin,0.9068326512873173,0.9330483264565468,0.8814044878423214,0.041069566425401674,189.97927694298215,0.9734322833359241,25351.09047389557,0.0231533799956087,5000,final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/evaluation/pins/pin_batch100
6,multi-output Tversky Loss base-channel 32,pin,0.9042639859437942,0.9296092841088772,0.875961939021945,0.04240367369842711,191.75127400982342,0.9742575848817825,25299.596814638095,0.0096255657166242,5000,final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin_base320722
7,multi-output Tversky Loss ReduceLROnPlateau 0.5 Evaluation,unknown,0.8969841742023825,0.9250827598050236,0.871790319365263,0.045851907275291114,46.93274917612975,0.9644995900712907,18369.521405614163,0.0070132690411999,20000,final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,eva_server/evaluation/final_eva
8,multi-output Tversky Loss lr 5e-05,pin,0.8854547580063343,0.9088156424641609,0.8429820476353168,0.05037498439066108,133.57250838653445,0.9724193479776383,14001.426816161102,0.0172474100206047,5000,final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,eva_server/evaluation/pins/dif_lr
9,multi-output BCE/MSE Loss,pin,0.7564642217457295,0.8217102604448795,0.7272550293058156,0.12723060325952243,100.79222241236195,0.8782859093189239,12862.700654113292,0.0096605300154071,5000,final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
10,two-output Tversky Loss,twooutput,0.6723438007831574,0.9515939618587493,0.9117211868882179,0.6665753045856952,3.0585243479788304,0.5357858921170234,3.509644369730353,0.009623099726811,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0707_twooutputs_second_edition
11,one-output Dice/L1 Loss,oneoutput,0.6426297241806984,0.6819373455643654,0.5469751874655485,0.11809397433064873,0.4754809047147632,0.8604076686561107,0.1948407002943102,0.0097091368391877,5000,final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/oneoutput/0702_oneoutput
12,one-output Tversky Loss,oneoutput,0.569105924937129,0.6217639835447073,0.5577492898479104,0.1438952989346618,0.5557205220349317,0.6404638083875179,0.4642492580019698,0.0205850848747999,5000,final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,eva_server/evaluation/oneoutput/tversky
13,two-output L1 batch 100,twooutput,0.45561932322382925,0.29793064929470414,0.2004025360180996,0.04611906851897943,106.40897265177229,0.9518427108466625,11953.933498788794,0.0094480206277919,5000,final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/evaluation/twooutput/twooutput
14,two-output Reconstruction Loss,twooutput,0.4551907768204808,0.2877759432168677,0.19248654512809585,0.040749339313758494,75.50143528436068,0.9654506733357906,7115.32078089558,0.0720679817172233,5000,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0721-1027_newloss_twooutput~
15,two-output L1,twooutput,0.4478302288845181,0.29257326811589296,0.1962033246227074,0.04989126687827516,84.2803126631639,0.9436539198696613,7761.9637966734035,0.0099762606698088,5000,final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0721twooutput_l1loss
16,two-output L1 base-channel 32,twooutput,0.4291113535217941,0.2848294623052366,0.19079475227339562,0.06286286730854768,14.431977549589611,0.9185618130996823,430.14726330921843,0.0108008935895981,5000,final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0717-0844_twooutput
