model_display,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,reconstruction_rmse,n_samples,model,model_path,architecture,source_dir,source_file,spot_recognition_p10,dice_p10,total_eval_seconds,seconds_per_sample,seconds_per_spot,samples_per_second,spots_per_second
0630-2045_twooutput__0630_2045_twooutput,0.5532469158262014,0.46657726382762194,0.4544852325588465,484.9683370533645,0.4900334413766861,43559.90971855323,0.39869892536103724,,5000,final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1,checkpoints/final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0630_2045_twooutput,eva_server/evaluation/twooutput/0630_2045_twooutput/model_separation_metrics_5000.csv,0.26924211978912355,0.37323432564735415,47.75538513006177,0.0095510770260123,0.0047755385130061,104.70023404444342,209.40046808888684
0630-2045_twooutput__0630_2045_twooutputs,0.5532469158262014,0.46657726382762194,0.4544852325588465,484.9683370533645,0.4900334413766861,43559.90971855323,0.39869892536103724,,5000,final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1,checkpoints/final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0630_2045_twooutputs,eva_server/evaluation/twooutput/0630_2045_twooutputs/model_separation_metrics_5000.csv,0.26924211978912355,0.37323432564735415,47.7323559630895,0.0095464711926179,0.0047732355963089,104.75074818989457,209.5014963797891
0702-1451_oneoutput,0.6819373455643654,0.5469751874655485,0.11809397433064873,0.4754809047147632,0.8604076686561107,0.1948407002943102,0.6426297241806984,1.4459491923298624e-10,5000,final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,oneoutput,eva_server/evaluation/oneoutput/0702_oneoutput,eva_server/evaluation/oneoutput/0702_oneoutput/oneoutput_model_separation_metrics_5000.csv,0.4733057737350464,0.4896136879920959,48.54568419593852,0.0097091368391877,0.0048545684195938,102.99576744699203,205.99153489398407
0703-2013_twooutput,0.7675334894821048,0.6852922699145972,0.5779803010910749,965.3319060625553,0.525949386960268,78059.93153814621,0.5460439559847117,,5000,final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,checkpoints/final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/twooutput,eva_server/evaluation/twooutput/twooutput/model_separation_metrics_5000.csv,0.3183857232332229,0.44904592335224147,47.23396489000879,0.0094467929780017,0.0047233964890008,105.85602990651394,211.71205981302788
0704-0227_pin,0.6475760339260102,0.5422920232445002,0.14557274301946158,439.26355842549054,0.8438259810686112,64284.94227715712,0.6172559794843197,,5000,final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,checkpoints/final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/pin2,eva_server/evaluation/pins/pin2/pin_model_separation_metrics_5000.csv,0.45421036481857296,0.4457034468650818,48.46200085594319,0.0096924001711886,0.0048462000855943,103.1736187464249,206.3472374928498
0707-1118_twooutput__0707_twooutputs,0.9515939618587493,0.9117211868882179,0.6665753045856952,3.0585243479788304,,3.509644369730353,0.6723438007831574,,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0707_twooutputs,eva_server/evaluation/twooutput/0707_twooutputs/model_separation_metrics_5000.csv,0.6399225056171417,0.9124533355236054,61.40747585496865,0.0122814951709937,0.0061407475854968,81.42331093056052,162.84662186112104
0707-1118_twooutput__0707_twooutputs_second_edition,0.9515939618587493,0.9117211868882179,0.6665753045856952,3.0585243479788304,0.5357858921170234,3.509644369730353,0.6723438007831574,,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0707_twooutputs_second_edition,eva_server/evaluation/twooutput/0707_twooutputs_second_edition/model_separation_metrics_5000.csv,0.6399225056171417,0.9124533355236054,48.11549863405526,0.009623099726811,0.0048115498634055,103.91662025634902,207.83324051269804
0709-1413_pin,0.8217102604448795,0.7272550293058156,0.12723060325952243,100.79222241236195,0.8782859093189239,12862.700654113292,0.7564642217457295,,5000,final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,checkpoints/final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/pin2,eva_server/evaluation/pins/pin2/pin_model_separation_metrics_5000.csv,0.5897029161453247,0.6364317536354065,48.30265007703565,0.0096605300154071,0.0048302650077035,103.51398923300756,207.02797846601516
0710-1637_pin,0.9561595076978207,0.9195719382703305,0.037370807659253436,192.50466789528244,0.9837969559848309,25856.774329745,0.9307647977113723,,5000,final_20260710-163719_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260710-163719_augmented_spots_train_e200_b10_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/pin2,eva_server/evaluation/pins/pin2/pin_model_separation_metrics_5000.csv,0.8899407088756561,0.9256237387657165,48.383891350007616,0.0096767782700015,0.0048383891350007,103.34017914826548,206.68035829653095
0717-0844_twooutput,0.2848294623052366,0.19079475227339562,0.06286286730854768,14.431977549589611,0.9185618130996823,430.14726330921843,0.4291113535217941,,5000,final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0717-0844_twooutput,eva_server/evaluation/twooutput/0717-0844_twooutput/model_separation_metrics_5000.csv,0.25184363722801206,0.12258705124258994,54.00446794799063,0.0108008935895981,0.005400446794799,92.58493213589816,185.1698642717963
