model_display,Al,Al_big_grains,Al_deformed_LoG,Al_small_grains,Cu,IN718_twins,Iron,Iron_deformed,Ti7Al
multi-head Tversky Loss,0.9594696472556595,0.9301569333866887,0.9333543788848652,0.932763045626706,0.9093174099817793,0.963046442680283,0.9232346464448901,0.9182931312110737,0.9105660063439402
multi-head Tversky Loss lr 1e-04,0.9514804753957619,0.9093788143085397,0.9233591128140688,0.9232303320929625,0.8862690348341252,0.9590948541643132,0.9001818640685794,0.8934184772428961,0.8756404789871183
multi-head Tversky Loss batch 20,0.9513706220070105,0.9060533730232198,0.9217548344491256,0.9245788970071337,0.8833841016016992,0.964650768645952,0.8998408841330614,0.8945294825136126,0.873597831458881
multi-head Tversky Loss lr 3e-04,0.9537249461310489,0.9014764200302138,0.9195613305394849,0.9229536682799242,0.8764913616581264,0.9634493020609406,0.895507945053613,0.8909025607995114,0.8583610034194485
multi-head Tversky Loss batch 100,0.9533222783714481,0.9003027213764363,0.9190390624312891,0.9193320104825324,0.8758823768791927,0.9650508177209327,0.8908447585443953,0.8891495080995816,0.854838368759073
multi-head Tversky Loss base-channel 32,0.9448024197294658,0.8981438562597918,0.9156479614062442,0.917515630847302,0.8765607346795278,0.9552773661452306,0.8924192280244472,0.8846000192195338,0.8589849464852234
multi-head Tversky Loss lr 5e-05,0.9381282112673315,0.8875863336674545,0.8890058698339595,0.8873030290655468,0.8340111446359738,0.9478632695158243,0.8697991592448149,0.8647238472526763,0.8570015436102604
multi-head BCE/MSE Loss,0.842468192492064,0.7995745881960012,0.7164036758864919,0.7085678748570491,0.6740178456448424,0.8614334218189209,0.7157412924762092,0.7151377401724324,0.7832921076437522
two-output Tversky Loss,0.6987848707310609,0.66515017338637,0.6753695892790953,0.6820172911536866,0.6572964637166773,0.7049543216498662,0.6612799273275617,0.6587368552196817,0.6506813364809957
one-output Loss,0.7259048032094879,0.6187469632081364,0.6170958218992584,0.6841403807418934,0.6024115902425529,0.7993678785342109,0.588464770577292,0.6100705044487863,0.5539288145714792
multi-head BCE/MSE Loss small Dataset,0.7606465512753365,0.6142164023890011,0.606300215340323,0.6089223245347756,0.5107328006557325,0.7506107261948747,0.5647633671204546,0.5685617407947725,0.5817935230916944
one-output Tversky Loss,0.6928562641819942,0.5709852339240952,0.5529755897199115,0.6305600457109403,0.5270046063563452,0.7247048180335559,0.5055644596968569,0.4932003827294071,0.4407150586103571
two-output Tversky Loss small Dataset,0.6784386857953996,0.5473766386562932,0.5679527854081243,0.5762420217574075,0.4300580184169492,0.6789305624857574,0.49860947242757275,0.4887267142748276,0.4613024991391034
two-output L1 batch 100,0.5220701289322571,0.4042196292160214,0.4782737170139121,0.5307643388438484,0.46320120189110575,0.5424153409290977,0.40635138566591844,0.43559560784317647,0.32689607210200405
two-output Reconstruction Loss,0.5152143719516707,0.4000613584412613,0.478242678878208,0.5292576075787994,0.46853515458816825,0.5287835301746194,0.4151073276384998,0.43928393745657784,0.33033418443439333
two-output L1,0.5155872554887235,0.39271081325368606,0.4728474458162155,0.526900340627501,0.45777296080480734,0.5322190465379661,0.3985701125921376,0.4288788024249154,0.3140009430461916
two-output L1 base-channel 32,0.5017198806345775,0.3708507909399012,0.45832964971972007,0.511910655549255,0.43059998625422946,0.5197199681407177,0.37913507641529415,0.4096510116298494,0.28983677369381844
